,Business Name,Address 1,Address 2,"City, State Zip",Map URL
0,ADIRONDACK APOTHECARY LLC,4315 MAIN STREET,,"PORT HENRY, NY 12974",http://maps.google.com/maps?q=ADIRONDACK%20APOTHECARY%20LLC%2C4315%20MAIN%20STREET%2C+PORT%20HENRY%2C+NY+12974
1,ALICE HYDE MEDICAL CENTER,133 PARK STREET,,"MALONE, NY 12953",http://maps.google.com/maps?q=ALICE%20HYDE%20MEDICAL%20CENTER%2C133%20PARK%20STREET%2C+MALONE%2C+NY+12953
2,BAYSTATE MEDICAL CENTER INC,759 CHESTNUT ST,,"SPRINGFIELD, MA 01199",http://maps.google.com/maps?q=BAYSTATE%20MEDICAL%20CENTER%20INC%2C759%20CHESTNUT%20ST%2C+SPRINGFIELD%2C+MA+01199
3,BRATTLEBORO MEMORIAL HOSP,PHARMACY DEPT.,17 BELMONT AVE.,"BRATTLEBORO, VT 05301",http://maps.google.com/maps?q=BRATTLEBORO%20MEMORIAL%20HOSP%2CPHARMACY%20DEPT.%2C+BRATTLEBORO%2C+VT+05301
4,CATHOLIC MEDICAL CENTER HOSP,100 MCGREGOR STREET,,"MANCHESTER, NH 03102",http://maps.google.com/maps?q=CATHOLIC%20MEDICAL%20CENTER%20HOSP%2C100%20MCGREGOR%20STREET%2C+MANCHESTER%2C+NH+03102
5,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,C/O PHARMACY,214 CORNELIA STREET,"PLATTSBURGH, NY 12901",http://maps.google.com/maps?q=CHAMPLAIN%20VALLEY%20PHYSICIANS%20HOSPITAL%2CC/O%20PHARMACY%2C+PLATTSBURGH%2C+NY+12901
6,"CONDO PHARMACY, INC",28 MONTCALM AVE,,"PLATTSBURGH, NY 12901",http://maps.google.com/maps?q=CONDO%20PHARMACY%20INC%2C28%20MONTCALM%20AVE%2C+PLATTSBURGH%2C+NY+12901
7,CORNERSTONE DRUG & GIFT INC,72 CHAMPLAIN STREET,ATTN: SUPERVISING PHARMACIST,"ROUSES POINT, NY 12979",http://maps.google.com/maps?q=CORNERSTONE%20DRUG%20%20GIFT%20INC%2C72%20CHAMPLAIN%20STREET%2C+ROUSES%20POINT%2C+NY+12979
8,"CVS ALBANY, L.L.C.","2040 WESTERN AVENUE, ROUTE 155",,"ALBANY, NY 12203",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C2040%20WESTERN%20AVENUE%2C%20ROUTE%20155%2C+ALBANY%2C+NY+12203
9,"CVS ALBANY, L.L.C.",260 DELAWARE AVENUE,,"DELMAR, NY 12054",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C260%20DELAWARE%20AVENUE%2C+DELMAR%2C+NY+12054
10,"CVS ALBANY, L.L.C.",34 CONGRESS ST.,,"SARATOGA SPRINGS, NY 12866",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C34%20CONGRESS%20ST.%2C+SARATOGA%20SPRINGS%2C+NY+12866
11,"CVS ALBANY, L.L.C.",598 COLUMBIA TURNPIKE,,"EAST GREENBUSH, NY 12061",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C598%20COLUMBIA%20TURNPIKE%2C+EAST%20GREENBUSH%2C+NY+12061
12,"CVS ALBANY, L.L.C.",839 RTE 146,,"CLIFTON PARK, NY 12065",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C839%20RTE%20146%2C+CLIFTON%20PARK%2C+NY+12065
13,"CVS MANCHESTER NH, L.L.C.",242 MAIN STREET,,"NASHUA, NH 03060",http://maps.google.com/maps?q=CVS%20MANCHESTER%20NH%20LLC%2C242%20MAIN%20STREET%2C+NASHUA%2C+NH+03060
14,"CVS MANCHESTER NH, L.L.C.",268 WEST ST.,,"KEENE, NH 03431",http://maps.google.com/maps?q=CVS%20MANCHESTER%20NH%20LLC%2C268%20WEST%20ST.%2C+KEENE%2C+NH+03431
15,"CVS PHARMACY, INC.",115 STAFFORD ST.,,"WORCESTER, MA 01603",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C115%20STAFFORD%20ST.%2C+WORCESTER%2C+MA+01603
16,"CVS PHARMACY, INC.",137 FEDERAL STREET,,"GREENFIELD, MA 01301",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C137%20FEDERAL%20STREET%2C+GREENFIELD%2C+MA+01301
17,"CVS PHARMACY, INC.",1616 MEMORIAL DR.,,"CHICOPEE, MA 01020",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1616%20MEMORIAL%20DR.%2C+CHICOPEE%2C+MA+01020
18,"CVS PHARMACY, INC.",197 BOSTON TURNPIKE RTE 9,,"SHREWSBURY, MA 01545",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C197%20BOSTON%20TURNPIKE%20RTE%209%2C+SHREWSBURY%2C+MA+01545
19,"CVS PHARMACY, INC.",264 EAST MAIN STREET,,"MARLBORO, MA 01752",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C264%20EAST%20MAIN%20STREET%2C+MARLBORO%2C+MA+01752
20,"CVS PHARMACY, INC.",314 MAIN STREET,,"GARDNER, MA 01440",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C314%20MAIN%20STREET%2C+GARDNER%2C+MA+01440
21,"CVS PHARMACY, INC.",400 PARK AVE.,,"WORCESTER, MA 01610",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C400%20PARK%20AVE.%2C+WORCESTER%2C+MA+01610
22,"CVS PHARMACY, INC.",500 GRAFTON STREET,,"WORCESTER, MA 01604",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C500%20GRAFTON%20STREET%2C+WORCESTER%2C+MA+01604
23,"CVS PHARMACY, INC.",600 STATE ST,,"SPRINGFIELD, MA 01109",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C600%20STATE%20ST%2C+SPRINGFIELD%2C+MA+01109
24,"CVS PHARMACY, INC.",615-621 BELMONT AVENUE,,"SPRINGFIELD, MA 01108",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C615-621%20BELMONT%20AVENUE%2C+SPRINGFIELD%2C+MA+01108
25,"CVS PHARMACY, INC.",9 NELSON STREET,,"LEOMINSTER, MA 01453",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C9%20NELSON%20STREET%2C+LEOMINSTER%2C+MA+01453
26,DARTMOUTH HITCHCOCK PHARMACY AT CENTERRA,12 CENTERRA PARKWAY,,"LEBANON, NH 03766",http://maps.google.com/maps?q=DARTMOUTH%20HITCHCOCK%20PHARMACY%20AT%20CENTERRA%2C12%20CENTERRA%20PARKWAY%2C+LEBANON%2C+NH+03766
27,DARTMOUTH-HITCHCOCK PHARMACY,ONE MEDICAL CENTER DRIVE,,"LEBANON, NH 03756",http://maps.google.com/maps?q=DARTMOUTHHITCHCOCK%20PHARMACY%2CONE%20MEDICAL%20CENTER%20DRIVE%2C+LEBANON%2C+NH+03756
28,DICK HALL'S HOUSE PHARMACY,5 ROPE FERRY RD.,,"HANOVER, NH 03755",http://maps.google.com/maps?q=DICK%20HALLS%20HOUSE%20PHARMACY%2C5%20ROPE%20FERRY%20RD.%2C+HANOVER%2C+NH+03755
29,ELIZABETHTOWN COMMUNITY HOSP,75 PARK STREET,PO BOX 277,"ELIZABETHTOWN, NY 12932",http://maps.google.com/maps?q=ELIZABETHTOWN%20COMMUNITY%20HOSP%2C75%20PARK%20STREET%2C+ELIZABETHTOWN%2C+NY+12932
30,FIRST COLONY CORP,PO BOX 10,82 NEWPORT RD,"NEW LONDON, NH 03257",http://maps.google.com/maps?q=FIRST%20COLONY%20CORP%2CPO%20BOX%2010%2C+NEW%20LONDON%2C+NH+03257
31,FORTEEN STAR ENTERPRISES INC,346 CENTRAL AVE,,"ALBANY, NY 12206",http://maps.google.com/maps?q=FORTEEN%20STAR%20ENTERPRISES%20INC%2C346%20CENTRAL%20AVE%2C+ALBANY%2C+NY+12206
32,FOUR CORNERS PHARMACY LLC,360 DELAWARE AVENUE,,"DELMAR, NY 12054",http://maps.google.com/maps?q=FOUR%20CORNERS%20PHARMACY%20LLC%2C360%20DELAWARE%20AVENUE%2C+DELMAR%2C+NY+12054
33,FRANKLIN MEMORIAL HOSPITAL,111 FRANKLIN HEALTH COMMONS,,"FARMINGTON, ME 04938",http://maps.google.com/maps?q=FRANKLIN%20MEMORIAL%20HOSPITAL%2C111%20FRANKLIN%20HEALTH%20COMMONS%2C+FARMINGTON%2C+ME+04938
34,FREDERICK H LANGE INC,2205 NOTT ST,,"SCHENECTADY, NY 12309",http://maps.google.com/maps?q=FREDERICK%20H%20LANGE%20INC%2C2205%20NOTT%20ST%2C+SCHENECTADY%2C+NY+12309
35,GAUTHIER'S PHARMACY INC,415 RAILROAD ST,,"ST JOHNSBURY, VT 05819",http://maps.google.com/maps?q=GAUTHIERS%20PHARMACY%20INC%2C415%20RAILROAD%20ST%2C+ST%20JOHNSBURY%2C+VT+05819
36,GIFFORD MEMORIAL HOSPITAL INC,44 SOUTH MAIN ST,,"RANDOLPH, VT 05060",http://maps.google.com/maps?q=GIFFORD%20MEMORIAL%20HOSPITAL%20INC%2C44%20SOUTH%20MAIN%20ST%2C+RANDOLPH%2C+VT+05060
37,GREATER FALLS PHARMACY,78 ATKINSON ST,,"BELLOWS FALLS, VT 05101",http://maps.google.com/maps?q=GREATER%20FALLS%20PHARMACY%2C78%20ATKINSON%20ST%2C+BELLOWS%20FALLS%2C+VT+05101
38,"GUARDIAN PHARMACY OF MAINE, LLC","3 BUSINESS PARKWAY, SUITE 2",,"BRUNSWICK, ME 04011",http://maps.google.com/maps?q=GUARDIAN%20PHARMACY%20OF%20MAINE%20LLC%2C3%20BUSINESS%20PARKWAY%2C%20SUITE%202%2C+BRUNSWICK%2C+ME+04011
39,HIGH MOUNTAIN CORPORATION,DBA RUTLAND PHARMACY,75 ALLEN STREET,"RUTLAND, VT 05701",http://maps.google.com/maps?q=HIGH%20MOUNTAIN%20CORPORATION%2CDBA%20RUTLAND%20PHARMACY%2C+RUTLAND%2C+VT+05701
40,HOLYOKE HEALTH CENTER INC,505 FRONT STREET,,"CHICOPEE, MA 01013",http://maps.google.com/maps?q=HOLYOKE%20HEALTH%20CENTER%20INC%2C505%20FRONT%20STREET%2C+CHICOPEE%2C+MA+01013
41,"HOLYOKE HEALTH CENTER, INC.",PHARMACY DEPARTMENT,230 MAPLE STREET,"HOLYOKE, MA 01040",http://maps.google.com/maps?q=HOLYOKE%20HEALTH%20CENTER%20INC%2CPHARMACY%20DEPARTMENT%2C+HOLYOKE%2C+MA+01040
42,HOTEL PHARMACY,20 ELLIOT ST,,"BRATTLEBORO, VT 05301",http://maps.google.com/maps?q=HOTEL%20PHARMACY%2C20%20ELLIOT%20ST%2C+BRATTLEBORO%2C+VT+05301
43,KEESEVILLE PHARMACY INC,1730 FRONT STREET,,"KEESEVILLE, NY 12944",http://maps.google.com/maps?q=KEESEVILLE%20PHARMACY%20INC%2C1730%20FRONT%20STREET%2C+KEESEVILLE%2C+NY+12944
