name,googleMapsUrl,state,postal,source,address
ADIRONDACK APOTHECARY LLC,http://maps.google.com/maps?q=ADIRONDACK%20APOTHECARY%20LLC%2C4315%20MAIN%20STREET%2C+PORT%20HENRY%2C+NY+12974,NY,12974,DEA,"4315 MAIN STREET, PORT HENRY, NY 12974"
ALICE HYDE MEDICAL CENTER,http://maps.google.com/maps?q=ALICE%20HYDE%20MEDICAL%20CENTER%2C133%20PARK%20STREET%2C+MALONE%2C+NY+12953,NY,12953,DEA,"133 PARK STREET, MALONE, NY 12953"
BAYSTATE MEDICAL CENTER INC,http://maps.google.com/maps?q=BAYSTATE%20MEDICAL%20CENTER%20INC%2C759%20CHESTNUT%20ST%2C+SPRINGFIELD%2C+MA+01199,MA,1199,DEA,"759 CHESTNUT ST, SPRINGFIELD, MA 01199"
BRATTLEBORO MEMORIAL HOSP,http://maps.google.com/maps?q=BRATTLEBORO%20MEMORIAL%20HOSP%2CPHARMACY%20DEPT.%2C+BRATTLEBORO%2C+VT+05301,VT,5301,DEA,"PHARMACY DEPT., 17 BELMONT AVE., BRATTLEBORO, VT 05301"
CATHOLIC MEDICAL CENTER HOSP,http://maps.google.com/maps?q=CATHOLIC%20MEDICAL%20CENTER%20HOSP%2C100%20MCGREGOR%20STREET%2C+MANCHESTER%2C+NH+03102,NH,3102,DEA,"100 MCGREGOR STREET, MANCHESTER, NH 03102"
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,http://maps.google.com/maps?q=CHAMPLAIN%20VALLEY%20PHYSICIANS%20HOSPITAL%2CC/O%20PHARMACY%2C+PLATTSBURGH%2C+NY+12901,NY,12901,DEA,"C/O PHARMACY, 214 CORNELIA STREET, PLATTSBURGH, NY 12901"
"CONDO PHARMACY, INC",http://maps.google.com/maps?q=CONDO%20PHARMACY%20INC%2C28%20MONTCALM%20AVE%2C+PLATTSBURGH%2C+NY+12901,NY,12901,DEA,"28 MONTCALM AVE, PLATTSBURGH, NY 12901"
CORNERSTONE DRUG & GIFT INC,http://maps.google.com/maps?q=CORNERSTONE%20DRUG%20%20GIFT%20INC%2C72%20CHAMPLAIN%20STREET%2C+ROUSES%20POINT%2C+NY+12979,NY,12979,DEA,"72 CHAMPLAIN STREET, ATTN: SUPERVISING PHARMACIST, ROUSES POINT, NY 12979"
"CVS ALBANY, L.L.C.",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C2040%20WESTERN%20AVENUE%2C%20ROUTE%20155%2C+ALBANY%2C+NY+12203,NY,12203,DEA,"2040 WESTERN AVENUE, ROUTE 155, ALBANY, NY 12203"
"CVS ALBANY, L.L.C.",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C260%20DELAWARE%20AVENUE%2C+DELMAR%2C+NY+12054,NY,12054,DEA,"260 DELAWARE AVENUE, DELMAR, NY 12054"
"CVS ALBANY, L.L.C.",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C34%20CONGRESS%20ST.%2C+SARATOGA%20SPRINGS%2C+NY+12866,NY,12866,DEA,"34 CONGRESS ST., SARATOGA SPRINGS, NY 12866"
"CVS ALBANY, L.L.C.",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C598%20COLUMBIA%20TURNPIKE%2C+EAST%20GREENBUSH%2C+NY+12061,NY,12061,DEA,"598 COLUMBIA TURNPIKE, EAST GREENBUSH, NY 12061"
