Business Name,Address 1,Address 2,"City, State Zip",Map URL
45TH MEDICAL GROUP SATELLITE PHARMACY,1361 S. PATRICK DRIVE,,"PATRICK AFB, FL 32925",http://maps.google.com/maps?q=TH%20MEDICAL%20GROUP%20SATELLITE%20PHARMACY%2C1361%20S.%20PATRICK%20DRIVE%2C+PATRICK%20AFB%2C+FL+32925
AIDS HEALTHCARE FOUNDATION,1701 NORTH MILLS AVENUE,,"ORLANDO, FL 32803",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C1701%20NORTH%20MILLS%20AVENUE%2C+ORLANDO%2C+FL+32803
AIDS HEALTHCARE FOUNDATION,2097 WILTON DR,,"WILTON MANORS, FL 33305",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2097%20WILTON%20DR%2C+WILTON%20MANORS%2C+FL+33305
AIDS HEALTHCARE FOUNDATION,2900 N. BISCAYNE BLVD.,,"MIAMI, FL 33137",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2900%20N.%20BISCAYNE%20BLVD.%2C+MIAMI%2C+FL+33137
AIDS HEALTHCARE FOUNDATION,3135 SR 580,SUITE 1,"SAFETY HARBOR, FL 34695",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C3135%20SR%20580%2C+SAFETY%20HARBOR%2C+FL+34695
AIDS HEALTHCARE FOUNDATION,3400 26TH AVE S,,"ST PETERSBURG, FL 33711",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C3400%2026TH%20AVE%20S%2C+ST%20PETERSBURG%2C+FL+33711
AIDS HEALTHCARE FOUNDATION,6405 N. FEDERAL HIGHWAY,#205,"FT LAUDERDALE, FL 33308",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C6405%20N.%20FEDERAL%20HIGHWAY%2C+FT%20LAUDERDALE%2C+FL+33308
AIDS HEALTHCARE FOUNDATION,700 SE 3RD AVENUE,SUITE 100,"FT LAUDERDALE, FL 33316",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C700%20SE%203RD%20AVENUE%2C+FT%20LAUDERDALE%2C+FL+33316
"AIDS HEALTHCARE FOUNDATION, DBA AHF PHARMACY",1785 E. SUNRISE BLVD.,,"FORT LAUDERDALE, FL 33304",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C1785%20E.%20SUNRISE%20BLVD.%2C+FORT%20LAUDERDALE%2C+FL+33304
ARTH LLC,1446  LEE BLVD,,"LEHIGH ACRES, FL 33936",http://maps.google.com/maps?q=ARTH%20LLC%2C1446%20%20LEE%20BLVD%2C+LEHIGH%20ACRES%2C+FL+33936
"ASPIRE HEALTH PARTNERS, INC.",PRINCETON PLAZA PHARMACY,1800 MERCY DRIVE,"ORLANDO, FL 32808",http://maps.google.com/maps?q=ASPIRE%20HEALTH%20PARTNERS%20INC%2CPRINCETON%20PLAZA%20PHARMACY%2C+ORLANDO%2C+FL+32808
BENZER FL 12 LLC,32733 EILAND BLVD SUITE 103,,"WESLEY CHAPEL, FL 33545",http://maps.google.com/maps?q=BENZER%20FL%20%20LLC%2C32733%20EILAND%20BLVD%20SUITE%20103%2C+WESLEY%20CHAPEL%2C+FL+33545
BENZER FL 13 LLC,5908 BRECKENRIDGE PARKWAY,,"TAMPA, FL 33610",http://maps.google.com/maps?q=BENZER%20FL%20%20LLC%2C5908%20BRECKENRIDGE%20PARKWAY%2C+TAMPA%2C+FL+33610
BENZER FL 14 LLC,"700 1ST ST S, SUITE 1",,"WINTER HAVEN, FL 33880",http://maps.google.com/maps?q=BENZER%20FL%20%20LLC%2C700%201ST%20ST%20S%2C%20SUITE%201%2C+WINTER%20HAVEN%2C+FL+33880
BENZER FL 15 LLC,11509 E MARTIN LUTHER KING JR BLVD,,"MANGO, FL 33550",http://maps.google.com/maps?q=BENZER%20FL%20%20LLC%2C11509%20E%20MARTIN%20LUTHER%20KING%20JR%20BLVD%2C+MANGO%2C+FL+33550
BENZER FL10 LLC,6056 VAN DYKE RD,,"LUTZ, FL 33558",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C6056%20VAN%20DYKE%20RD%2C+LUTZ%2C+FL+33558
BENZER FL11 LLC,2653 BRUCE B DOWNS BLVD SUITE 115,,"WESLEY CHAPEL, FL 33544",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C2653%20BRUCE%20B%20DOWNS%20BLVD%20SUITE%20115%2C+WESLEY%20CHAPEL%2C+FL+33544
BENZER FL3 LLC,105 S MOON AVE,,"BRANDON, FL 33511",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C105%20S%20MOON%20AVE%2C+BRANDON%2C+FL+33511
BENZER FL4 LLC,2722 W. OLD HIGHWAY 441,,"MOUNT DORA, FL 32757",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C2722%20W.%20OLD%20HIGHWAY%20441%2C+MOUNT%20DORA%2C+FL+32757
BENZER FL7 LLC,3535 US HWY 19,,"NEW PORT RICHEY, FL 34652",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C3535%20US%20HWY%2019%2C+NEW%20PORT%20RICHEY%2C+FL+34652
BENZER FL8 LLC,6280 66TH ST N,,"PINELLAS PARK, FL 33781",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C6280%2066TH%20ST%20N%2C+PINELLAS%20PARK%2C+FL+33781
BENZER FL9 LLC,14306 NORTH DALE MABRY HWY #D,,"TAMPA, FL 33618",http://maps.google.com/maps?q=BENZER%20FL%20LLC%2C14306%20NORTH%20DALE%20MABRY%20HWY%20#D%2C+TAMPA%2C+FL+33618
BENZER PHARMACY FL1 LLC,1250 NW 7TH STREET UNIT 101-102,,"MIAMI, FL 33125",http://maps.google.com/maps?q=BENZER%20PHARMACY%20FL%20LLC%2C1250%20NW%207TH%20STREET%20UNIT%20101-102%2C+MIAMI%2C+FL+33125
BENZER PHARMACY FL2 LLC,60 NE 1ST ST,,"POMPANO BEACH, FL 33060",http://maps.google.com/maps?q=BENZER%20PHARMACY%20FL%20LLC%2C60%20NE%201ST%20ST%2C+POMPANO%20BEACH%2C+FL+33060
"BROOKSVILLE DRUGS, INC.",80 PONCE DE LEON BLVD,,"BROOKSVILLE, FL 34601",http://maps.google.com/maps?q=BROOKSVILLE%20DRUGS%20INC%2C80%20PONCE%20DE%20LEON%20BLVD%2C+BROOKSVILLE%2C+FL+34601
COLLIER HEALTH SERVICES,1454 MADISON AVENUE W,,"IMMOKALEE, FL 34142",http://maps.google.com/maps?q=COLLIER%20HEALTH%20SERVICES%2C1454%20MADISON%20AVENUE%20W%2C+IMMOKALEE%2C+FL+34142
COLLIER HEALTH SERVICES,1755 HERITAGE TRAIL SUITE 604,,"NAPLES, FL 34112",http://maps.google.com/maps?q=COLLIER%20HEALTH%20SERVICES%2C1755%20HERITAGE%20TRAIL%20SUITE%20604%2C+NAPLES%2C+FL+34112
"CYPRESS PHARMACY, INC",9451 CYPRESS LAKE DR,,"FORT MYERS, FL 33919",http://maps.google.com/maps?q=CYPRESS%20PHARMACY%20INC%2C9451%20CYPRESS%20LAKE%20DR%2C+FORT%20MYERS%2C+FL+33919
EDWARDS PHARMACY OF INDIAN ROCKS LLC,12071 INDIAN ROCKS ROAD,,"LARGO, FL 33774",http://maps.google.com/maps?q=EDWARDS%20PHARMACY%20OF%20INDIAN%20ROCKS%20LLC%2C12071%20INDIAN%20ROCKS%20ROAD%2C+LARGO%2C+FL+33774
EXPRESS RX PHARMACY INC,3421 SW 8 ST,,"MIAMI, FL 33135",http://maps.google.com/maps?q=EXPRESS%20RX%20PHARMACY%20INC%2C3421%20SW%208%20ST%2C+MIAMI%2C+FL+33135
FOREST HILL PHARMACY LLC,2939 FOREST HILL BLVD,,"WEST PALM BEACH, FL 33406",http://maps.google.com/maps?q=FOREST%20HILL%20PHARMACY%20LLC%2C2939%20FOREST%20HILL%20BLVD%2C+WEST%20PALM%20BEACH%2C+FL+33406
