Business Name,Address 1,Address 2,"City, State Zip",Map URL
ATRIUM PHARMACY MEMPHIS,2565 HORIZON LAKE BLVD.,STE. 113,"MEMPHIS, TN 38133",http://maps.google.com/maps?q=ATRIUM%20PHARMACY%20MEMPHIS%2C2565%20HORIZON%20LAKE%20BLVD.%2C+MEMPHIS%2C+TN+38133
BENZER PHARMACY,2951 E TEXAS STREET SUITE E,,"BOSSIER CITY, LA 71111",http://maps.google.com/maps?q=BENZER%20PHARMACY%2C2951%20E%20TEXAS%20STREET%20SUITE%20E%2C+BOSSIER%20CITY%2C+LA+71111
"CONWAY BEHAVIORAL HEALTH, LLC",2255 STURGIS ROAD,,"CONWAY, AR 72034",http://maps.google.com/maps?q=CONWAY%20BEHAVIORAL%20HEALTH%20LLC%2C2255%20STURGIS%20ROAD%2C+CONWAY%2C+AR+72034
"CRESTWYN HEALTH GROUP,LLC",9485 CRESTWYN HILLS COVE,,"MEMPHIS, TN 38125",http://maps.google.com/maps?q=CRESTWYN%20HEALTH%20GROUPLLC%2C9485%20CRESTWYN%20HILLS%20COVE%2C+MEMPHIS%2C+TN+38125
DRENNAN'S PHARMACY,2601 NORTH 7TH ST,SUITE 500,"WEST MONROE, LA 71291",http://maps.google.com/maps?q=DRENNANS%20PHARMACY%2C2601%20NORTH%207TH%20ST%2C+WEST%20MONROE%2C+LA+71291
FUTRELL PHARMACY,115 E BROADWAY,,"POCAHONTAS, AR 72455",http://maps.google.com/maps?q=FUTRELL%20PHARMACY%2C115%20E%20BROADWAY%2C+POCAHONTAS%2C+AR+72455
GREAT RIVER MEDICAL CENTER,1520 N. DIVISION,PO BOX 108,"BLYTHEVILLE, AR 72315",http://maps.google.com/maps?q=GREAT%20RIVER%20MEDICAL%20CENTER%2C1520%20N.%20DIVISION%2C+BLYTHEVILLE%2C+AR+72315
HARRIS DRUG AND GIFTS LLC,205 DEQUEEN AVE.,,"DE QUEEN, AR 71832",http://maps.google.com/maps?q=HARRIS%20DRUG%20AND%20GIFTS%20LLC%2C205%20DEQUEEN%20AVE.%2C+DE%20QUEEN%2C+AR+71832
HEALTHCARE PHARMACY,"3401 ATWOOD RD.,SUITE F",,"LITTLE ROCK, AR 72206",http://maps.google.com/maps?q=HEALTHCARE%20PHARMACY%2C3401%20ATWOOD%20RD.%2CSUITE%20F%2C+LITTLE%20ROCK%2C+AR+72206
RIVENDELL BEHAVIORAL HEALTH SERVICES,100 RIVENDELL DRIVE,,"BENTON, AR 72019",http://maps.google.com/maps?q=RIVENDELL%20BEHAVIORAL%20HEALTH%20SERVICES%2C100%20RIVENDELL%20DRIVE%2C+BENTON%2C+AR+72019
RX CARE PHARMACY,202 SOUTH AVE,SUITE A,"VIVIAN, LA 71082",http://maps.google.com/maps?q=RX%20CARE%20PHARMACY%2C202%20SOUTH%20AVE%2C+VIVIAN%2C+LA+71082
S.M.C. REGIONAL MEDICAL CENTER,611 W. LEE STREET,PO BOX 607,"OSCEOLA, AR 72370",http://maps.google.com/maps?q=SMC%20REGIONAL%20MEDICAL%20CENTER%2C611%20W.%20LEE%20STREET%2C+OSCEOLA%2C+AR+72370
TED'S PHARMACY,1866 MAIN ST,,"HAYNESVILLE, LA 71038",http://maps.google.com/maps?q=TEDS%20PHARMACY%2C1866%20MAIN%20ST%2C+HAYNESVILLE%2C+LA+71038
"TENNESSEE CVS PHARMACY, L.L.C.",116 COMMONS DR.,,"MARTIN, TN 38237",http://maps.google.com/maps?q=TENNESSEE%20CVS%20PHARMACY%20LLC%2C116%20COMMONS%20DR.%2C+MARTIN%2C+TN+38237
