,address,postal,state,city,geo,newURL,googleMapsUrl
3162,550-B WEST EATON AVENUE,95376,CA, TRACY,"-121.434006,37.743294",,http://maps.google.com/maps?q=ABALA%20PHARMACY%2C550-B%20WEST%20EATON%20AVENUE%2C+TRACY%2C+CA+95376
3166, PO BOX 5907,87825,NM, MAGDALENA,"-107.2461138,34.1167305",,http://maps.google.com/maps?q=ALAMO%20CLINIC%2CON%20HIGHWAY%20169%2C+MAGDALENA%2C+NM+87825
3167,3648 GENERAL DEGAULLE DRIVE,70114,LA, NEW ORLEANS,"-90.019104,29.924154",,http://maps.google.com/maps?q=ALGIERS%20PHARMACY%2C3648%20GENERAL%20DEGAULLE%20DRIVE%2C+NEW%20ORLEANS%2C+LA+70114
3170, # 112B,78750,TX, AUSTIN,"-97.80953,30.447075",,http://maps.google.com/maps?q=AM%20PHARMACY%2C10401%20ANDERSON%20MILLS%20RD%2C+AUSTIN%2C+TX+78750
3171, STE 1100,79106,TX, AMARILLO,"-101.9266971,35.2003379",,http://maps.google.com/maps?q=AMARILLO%20PHARMACEUTICAL%20CARE%20CTR%2C1400%20SOUTH%20COULTER%2C%20STE%201100%2C+AMARILLO%2C+TX+79106
3174,4555 N. PERSHING AVE STE#7,95207,CA, STOCKTON,"-121.32099,37.98704",,http://maps.google.com/maps?q=ANGKOR%20PHARMACY%2C4555%20N.%20PERSHING%20AVE%20STE#7%2C+STOCKTON%2C+CA+95207
3179,75 N. LAKE HAVASU AVE.,86403,AZ, LAKE HAVASU CITY,"-114.347916,34.481342",,http://maps.google.com/maps?q=ARIZONA%20CVS%20STORES%20LLC%2C75%20N.%20LAKE%20HAVASU%20AVE.%2C+LAKE%20HAVASU%20CITY%2C+AZ+86403
3180,101-21 METROPOLITAN AVENUE,11375,NY, FOREST HILLS,"-73.85165,40.710594",,http://maps.google.com/maps?q=ASCAN%20PHARMACY%20INC%2C101-21%20METROPOLITAN%20AVENUE%2C+FOREST%20HILLS%2C+NY+11375
3181,ONE MEDICAL CENTER DRIVE,45005,OH, MIDDLETOWN,"-84.316617,39.498552",,http://maps.google.com/maps?q=ATRIUM%20MEDICAL%20CENTER%2CONE%20MEDICAL%20CENTER%20DRIVE%2C+MIDDLETOWN%2C+OH+45005
3187,149-01 UNION TURNPIKE,11367,NY, FLUSHING,"-73.8137,40.71863",,http://maps.google.com/maps?q=AVONORA%20INC%2C149-01%20UNION%20TURNPIKE%2C+FLUSHING%2C+NY+11367
3192, SUITE N1210,40503,KY, LEXINGTON,"-84.51376,38.019276",,http://maps.google.com/maps?q=BAPTIST%20HEALTH%20LEXINGTON%20RETAIL%20PHARMACY%2C1700%20NICHOLASVILLE%20ROAD%2C+LEXINGTON%2C+KY+40503
3193, SUITE 4,10954,NY, BARDONIA,"-73.99609,41.10908",,http://maps.google.com/maps?q=BARDONIA%20PHARMACY%20LLC%2C301%20ROUTE%20304%2C+BARDONIA%2C+NY+10954
3195,2604 PEACH ORCHARD RD,30906,GA, AUGUSTA,"-82.01813,33.42552",,http://maps.google.com/maps?q=BARNEYS%20PHARMACY%2C2604%20PEACH%20ORCHARD%20RD%2C+AUGUSTA%2C+GA+30906
3197, P.O.BOX 630,13830,NY, OXFORD,"-75.59798,42.442165",,http://maps.google.com/maps?q=BARTLES%20PHARMACY%20INC%2C10%20LAFAYETTE%20PARK%2C+OXFORD%2C+NY+13830
3201,1911 BEL AIR RD,21047,MD, FALLSTON,"-76.387825,39.498264",,http://maps.google.com/maps?q=BELAIR%20MEDICINES%20INC%2C1911%20BEL%20AIR%20RD%2C+FALLSTON%2C+MD+21047
3203, SUITE 102,54313,WI, GREEN BAY,"-88.10365,44.492256",,http://maps.google.com/maps?q=BELLIN%20HEALTH%20PHARMACY%2C1630%20COMMANCHE%20AVENUE%2C+GREEN%20BAY%2C+WI+54313
3205, 609 CLINIC RD,83226,ID, CHALLIS,"-114.2231887,44.4999",,http://maps.google.com/maps?q=BENGAL%20PHARMACY%20LLC%2CDBA%20BENGAL%20PHARMACY%20AT%20CHALLIS%2C+CHALLIS%2C+ID+83226
3206,568 N HWY 36,80103,CO, BYERS,"-104.21879,39.720146",,http://maps.google.com/maps?q=BENZER%20CO%20LLC%2C568%20N%20HWY%2036%2C+BYERS%2C+CO+80103
3207, 224 EAST MAIN ST,14141,NY, SPRINGVILLE,"-78.6610794,42.5093979",,http://maps.google.com/maps?q=BERTRAND%20CHAFFEE%20HOSPITAL%2CPHARMACY%20DEPARTMENT%2C+SPRINGVILLE%2C+NY+14141
3208, 205 PROSPECT PARK WEST,11215,NY, BROOKLYN,"-73.9820463,40.6605349",,http://maps.google.com/maps?q=BESAEL%20CORP%2CDBA%20OAK%20PARK%20PHARMACY%2C+BROOKLYN%2C+NY+11215
3209,2800 TENTH AVENUE NORTH,59101,MT, BILLINGS,"-108.51408,45.790478",,http://maps.google.com/maps?q=BILLINGS%20CLINIC%20ATRIUM%20HOSPITAL%2C2800%20TENTH%20AVENUE%20NORTH%2C+BILLINGS%2C+MT+59101
3210,PO BOX 161529,59716,MT, BIG SKY,"-111.3030553,45.2604241",,http://maps.google.com/maps?q=BOZEMAN%20HEALTH%20BIG%20SKY%20MEDICAL%20CENTER%20PHARMACY%2CPO%20BOX%20161529%2C+BIG%20SKY%2C+MT+59716
3212,1017 SOUTH MEDICAL DRIVE,84302,UT, BRIGHAM CITY,"-112.0263,41.48908",,http://maps.google.com/maps?q=BRIGHAM%20COMMUNITY%20PHARMACY%2C1017%20SOUTH%20MEDICAL%20DRIVE%2C+BRIGHAM%20CITY%2C+UT+84302
3217, 5818 MADISON ROAD,45227,OH, CINCINNATI,"-84.395449,39.1611071",,http://maps.google.com/maps?q=CANN%20MEDICAL%20CENTER%2CCINCINNATI%20HEALTH%20DEPARTMENT%2C+CINCINNATI%2C+OH+45227
3218, 43 WILLIAMSON RD,16125,PA, GREENVILLE,"-80.3603453,41.4133054",,http://maps.google.com/maps?q=CAREFILL%20PHARMACY%2CSTE%201%2C+GREENVILLE%2C+PA+16125
3219,1 COCA COLA PLZ NW,30313,GA, ATLANTA,"-84.3835882,33.7539576",,http://maps.google.com/maps?q=CARECENTER%20PHARMACY%20LLC%2C1%20COCA%20COLA%20PLZ%20NW%2C+ATLANTA%2C+GA+30313
3220, STE C1,60062,IL, NORTHBROOK,"-87.87641,42.108593",,http://maps.google.com/maps?q=CARECENTER%20PHARMACY%20LLC%2C2775%20SANDERS%20RD.%2C%20STE%20C1%2C+NORTHBROOK%2C+IL+60062
3221, STE W2001,48326,MI, AUBURN HILLS,"-83.22461,42.651524",,http://maps.google.com/maps?q=CARECENTER%20PHARMACY%20LLC%2C800%20CHRYSLER%20DR.%2C%20STE%20W2001%2C+AUBURN%20HILLS%2C+MI+48326
3222, SUITE 100,37203,TN, NASHVILLE,"-86.81272,36.15399",,http://maps.google.com/maps?q=CARECENTER%20PHARMACY%20LLC%2C2515%20PARK%20PLAZA%2C%20SUITE%20100%2C+NASHVILLE%2C+TN+37203
3223,16 WOODBINE LANE,17821,PA, DANVILLE,"-76.579315,40.96685",,http://maps.google.com/maps?q=CARESITE%20PHARMACY%2C16%20WOODBINE%20LANE%2C+DANVILLE%2C+PA+17821
3224,4036 RIVER OAKS DRIVE UNIT B-1,29579,SC, MYRTLE BEACH,"-78.867546,33.754074",,http://maps.google.com/maps?q=CAROLINA%20FOREST%20PHARMACY%2C4036%20RIVER%20OAKS%20DRIVE%20UNIT%20B-1%2C+MYRTLE%20BEACH%2C+SC+29579
3225, 1001 WEST STREET,13619,NY, CARTHAGE,"-75.6127929,43.9806749",,http://maps.google.com/maps?q=CARTHAGE%20AREA%20HOSPITAL%2CATTN%3A%20PHARMACY%20DEPT%2C+CARTHAGE%2C+NY+13619
3227,ONE FOXCARE DRIVE,13820,NY, ONEONTA,"-75.0301446,42.4572237",,http://maps.google.com/maps?q=CATSKILL%20CARE%20ENTERPRISES%20INC%2CONE%20FOXCARE%20DRIVE%2C+ONEONTA%2C+NY+13820
3228,95-19 57 AVENUE,11373,NY, ELMHURST,"-73.86562,40.73671",,http://maps.google.com/maps?q=CEDARS%20PHARMACY%2C95-19%2057%20AVENUE%2C+ELMHURST%2C+NY+11373
3229, 1401 DEVINE STREET,29208,SC, COLUMBIA,"-81.029073,33.9956968",,http://maps.google.com/maps?q=CENTER%20FOR%20HEALTH%20AND%20WELL%20BEING%20PHARMACY%2CLIMITED%20TO%20OFFICIAL%20UNIVERSITY%20DUTIES%20ONLY%2C+COLUMBIA%2C+SC+29208
3230, 1008 MINNEQUA AVENUE,81004,CO, PUEBLO,"-104.6245298,38.2339086",,http://maps.google.com/maps?q=CENTURA%20HEALTH%2CCATHOLIC%20HEALTH%20INITIATIVES%2C+PUEBLO%2C+CO+81004
3231, 1338 PHAY AVENUE,81212,CO, CANON CITY,"-105.2263198,38.451292",,"https://www.google.com/maps/place/Centura+Health/@38.451292,-105.2263198,14z/data=!4m8!1m2!2m1!1sCENTURA+HEALTH,CATHOLIC+HEALTH+INITIATIVES,+CANON+CITY,+CO+81212!3m4!1s0x87148f75c6d1f633:0x7c4fc55cff311c26!8m2!3d38.4547043!4d-105.2303606"
3232,100 EAST LEFEVRE RD,61081,IL, STERLING,"-89.69707,41.801567",,http://maps.google.com/maps?q=CGH%20MEDICAL%20CENTER%2C100%20EAST%20LEFEVRE%20RD%2C+STERLING%2C+IL+61081
3234,845 JACKSON ST ROOM 1102,94133,CA, SAN FRANCISCO,"-122.409004,37.795727",,http://maps.google.com/maps?q=CHINESE%20HOSPITAL%20PHARMACY%2C845%20JACKSON%20ST%20ROOM%201102%2C+SAN%20FRANCISCO%2C+CA+94133
3235,500 OSBORN BLVD,49783,MI, SAULT S MARIE,"-84.349396,46.498238",,http://maps.google.com/maps?q=CHIPPEWA%20CO%20WAR%20MEMORIAL%20HOSPITAL%2C500%20OSBORN%20BLVD%2C+SAULT%20S%20MARIE%2C+MI+49783
3236, 2136 WEST 8TH STREET,45204,OH, CINCINNATI,"-84.5546284,39.1057566",,http://maps.google.com/maps?q=CINCINNATI%20HEALTH%20DEPARTMENT%2CPRICE%20HILL%20HEALTH%20CENTER%20PHARMACY%2C+CINCINNATI%2C+OH+45204
3238," INC, 1704 MEADOWS LANE",30474,GA, VIDALIA,"-82.3942165,32.2055701",,"https://www.google.com/maps/place/City+Drug+Store/@32.2055701,-82.3942165,17z/data=!4m8!1m2!2m1!1sCITY+DRUG+STORE,ALLMOND!3m4!1s0x88f088a612c15f0b:0x30290c0e70dd8f38!8m2!3d32.2055701!4d-82.3920278"
3239,1946 42ND STREET N.E.,52402,IA, CEDAR RAPIDS,"-91.66632,42.021534",,http://maps.google.com/maps?q=CLARKS%20PHARMACY%2C1946%2042ND%20STREET%20N.E.%2C+CEDAR%20RAPIDS%2C+IA+52402
3240, 214 KING ST,13669,NY, OGDENSBURG,"-75.496319,44.6976767",,"https://www.google.com/maps/place/Claxton+Hepburn+Medical+Center:+Vo+Tien+T+MD/@44.6976767,-75.496319,14z/data=!4m8!1m2!2m1!1sCLAXTON+HEPBURN+MEDICAL+CENTER,C%2FO+PHARMACY,+OGDENSBURG,+NY+13669!3m4!1s0x4ccdaa186dc5badb:0x92e6df8e7502bb76!8m2!3d44.691587!4d-75.499781"
3244, 735 MCMILLAN ROAD,29634,SC, CLEMSON,"-82.835747,34.6758962",,"https://www.google.com/maps/place/Redfern+Health+Center/@34.6758962,-82.835747,17z/data=!4m13!1m7!3m6!1s0x88585e6d11afffff:0x4556b6d09bca28b9!2s735+McMillan+Rd,+Clemson,+SC+29634!3b1!8m2!3d34.6758918!4d-82.8335583!3m4!1s0x88585e6e24a6ff13:0x7fa20f8b985da095!8m2!3d34.6757789!4d-82.8335947"
3248, P.O. BOX 649 (MAILING),78832,TX, BRACKETTVILLE,"-100.4196501,29.3121689",,http://maps.google.com/maps?q=CLINIC%20PHARMACY%2C201%20JAMES%20STREET%2C+BRACKETTVILLE%2C+TX+78832
3249," 207 OLD LEXINGTON ROAD, PO BOX 789",27360,NC, THOMASVILLE,"-80.1136699,35.8803774",,http://maps.google.com/maps?q=COMMUNITY%20GENERAL%20HEALTH%20PARTNERS%20INC%2CD/B/A%20NOVANT%20HEALTH%20THOMASVILLE%20MEDICAL%20CENTER%2C+THOMASVILLE%2C+NC+27360
3251, PO BOX 399,68355,NE, FALLS CITY,"-95.6112847,40.0730504",,"https://www.google.com/maps/place/Community+Medical+Center/@40.0730504,-95.6112847,16z/data=!4m8!1m2!2m1!1sCOMMUNITY+MEDICAL+CENTER+INC,3307+BARADA+ST,+FALLS+CITY,+NE+68355!3m4!1s0x8795717514581a3b:0xe1aeb1dc6a99a517!8m2!3d40.077831!4d-95.6079336"
3252, PHARMACY DEPARTMENT,13346,NY, HAMILTON,"-75.542534,42.812378",,http://maps.google.com/maps?q=COMMUNITY%20MEMORIAL%20HOSPITAL%2C150%20BROAD%20ST%2C+HAMILTON%2C+NY+13346
3255, P.O. BOX 549,98360,WA, ORTING,"-122.20389,47.097588",,http://maps.google.com/maps?q=COPE%20WILLIAM%20D%2C134%20WASHINGTON%20AVE%20S%2C+ORTING%2C+WA+98360
3256, 701 MAIN STREET,57274,SD, WEBSTER,"-97.5224979,45.3323011",,http://maps.google.com/maps?q=CORNWELL%20DRUG%2CP.%20O.%20BOX%20490%2C+WEBSTER%2C+SD+57274
3257,9485 CRESTWYN HILLS COVE,38125,TN, MEMPHIS,"-89.7493288,35.0416592",,http://maps.google.com/maps?q=CRESTWYN%20HEALTH%20GROUPLLC%2C9485%20CRESTWYN%20HILLS%20COVE%2C+MEMPHIS%2C+TN+38125
3258, P.O. BOX 488,54114,WI, CRIVITZ,"-88.00627,45.232365",,http://maps.google.com/maps?q=CRIVITZ%20PHARMACY%2C710%20MAIN%20STREET%2C%20P.O.%20BOX%20488%2C+CRIVITZ%2C+WI+54114
3259, PO BOX 888,58730,ND, CROSBY,,"https://www.google.com/maps/place/Crosby+Drug/@48.9137268,-103.2969404,17z/data=!3m1!4b1!4m5!3m4!1s0x53204aadd18a5e4d:0x191a41a066e1716a!8m2!3d48.9137268!4d-103.2947517",http://maps.google.com/maps?q=CROSBY%20DRUG%20LLC%2C30%20MAIN%20STREET%20NORTH%2C+CROSBY%2C+ND+58730
3265,15 HONEOYE COMMONS,14471,NY, HONEOYE,,"https://www.google.com/maps/place/CVS/@42.789099,-77.5070316,17z/data=!3m1!4b1!4m5!3m4!1s0x89d1158e6b343979:0x7b8bed6d623ef3ec!8m2!3d42.789099!4d-77.5048429",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C15%20HONEOYE%20COMMONS%2C+HONEOYE%2C+NY+14471
3271, DEER PARK S/C,11729,NY, DEER PARK,,"https://www.google.com/maps/place/CVS/@40.751683,-73.3351954,15z/data=!4m8!1m2!2m1!1sCVS+ALBANY+LLC,1944+DEER+PARK+AVE,+DEER+PARK,+NY+11729!3m4!1s0x89e82c36c7517745:0x29542180c94d0553!8m2!3d40.763398!4d-73.3313518",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C1944%20DEER%20PARK%20AVE%2C+DEER%20PARK%2C+NY+11729
3276, ROUTE 155,12203,NY, ALBANY,"-73.88763,42.69748",,http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C2040%20WESTERN%20AVENUE%2C%20ROUTE%20155%2C+ALBANY%2C+NY+12203
3295,4331 NESCONSET HWY.,11776,NY, PORT JEFFERSON STN,,"https://www.google.com/maps/place/CVS/@40.8963982,-73.1724811,12z/data=!4m8!1m2!2m1!1sCVS+ALBANY+LLC,4331+NESCONSET+HWY.,+PORT+JEFFERSON+STN,+NY+11776!3m4!1s0x89e840b844b98c67:0xb0b453edba8f8e3b!8m2!3d40.9080518!4d-73.0655977",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C4331%20NESCONSET%20HWY.%2C+PORT%20JEFFERSON%20STN%2C+NY+11776
3299,5 INDIAN ROCK PLAZA,10901,NY, SUFFERN,,"https://www.google.com/maps/place/CVS/@41.113736,-74.1317939,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2ddfc7eab04cd:0x52805e3553cb34d8!8m2!3d41.113736!4d-74.1296052",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C5%20INDIAN%20ROCK%20PLAZA%2C+SUFFERN%2C+NY+10901
3300, GATES SHOPPING PLZ,14606,NY, ROCHESTER,"-77.70412,43.170113",,http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C525%20SPENCERPORT%20RD%2C+ROCHESTER%2C+NY+14606
3308,839 RTE 146,12065,NY, CLIFTON PARK,"-73.781845,42.863754",,http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C839%20RTE%20146%2C+CLIFTON%20PARK%2C+NY+12065
3316,105 HARRIS AVE,75154,TX, RED OAK,"-96.8199,32.530838",,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C105%20HARRIS%20AVE%2C+RED%20OAK%2C+TX+75154
3318,11661 PRESTON RD. STE 218,75230,TX, DALLAS,"-96.80416,32.90751",,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C11661%20PRESTON%20RD.%20STE%20218%2C+DALLAS%2C+TX+75230
3324,1410 CRABB RIVER RD.,77469,TX, RICHMOND,,"https://www.google.com/maps/place/CVS/@29.5528779,-95.6962789,17z/data=!4m8!1m2!2m1!1sCVS+PHARMACY+INC,1410+CRABB+RIVER+RD.,+RICHMOND,+TX+77469!3m4!1s0x8640e2366b35c403:0x642346220562b107!8m2!3d29.5528458!4d-95.6940704",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1410%20CRABB%20RIVER%20RD.%2C+RICHMOND%2C+TX+77469
3328,1919 S. LOOP 256,75801,TX, PALESTINE,,"https://www.google.com/maps/place/CVS+Pharmacy/@31.7364134,-95.6114025,17z/data=!3m1!4b1!4m5!3m4!1s0x8648645683dc1507:0xd2e377617408f3ba!8m2!3d31.7364134!4d-95.6092138",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1919%20S.%20LOOP%20256%2C+PALESTINE%2C+TX+75801
3335,2712 HIGHWAY 365,77627,TX, NEDERLAND,,"https://www.google.com/maps/place/CVS/@29.9543671,-93.9894335,17z/data=!3m1!4b1!4m5!3m4!1s0x863eb0d3587704a1:0xd5e4d5f5e1226bd4!8m2!3d29.9543671!4d-93.9872448",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C2712%20HIGHWAY%20365%2C+NEDERLAND%2C+TX+77627
3337,2950 DOWLEN RD.,77706,TX, BEAUMONT,"-94.16838,30.106598",,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C2950%20DOWLEN%20RD.%2C+BEAUMONT%2C+TX+77706
