address,googleMapsUrl_x,lat,lng,name_x,postal_x,source_x,state_x,source_date_x,name_y,state_y,postal_y,googleMapsUrl_y,source_y,source_date_y,_merge
"1315 WYOMING STE B, MISSOULA, MT 59801",http://maps.google.com/maps?q=CLINIC%20PHARMACY%2C1315%20WYOMING%20STE%20B%2C+MISSOULA%2C+MT+59801,46.871906,-114.01592,406 CLINIC PHARMACY,59801.0,DEA,MT,Dec2018,,,,,,,left_only
"1361 S. PATRICK DRIVE, PATRICK AFB, FL 32925",http://maps.google.com/maps?q=TH%20MEDICAL%20GROUP%20SATELLITE%20PHARMACY%2C1361%20S.%20PATRICK%20DRIVE%2C+PATRICK%20AFB%2C+FL+32925,28.217375300000004,-80.60467320000002,45TH MEDICAL GROUP SATELLITE PHARMACY,32925.0,DEA,FL,Dec2018,,,,,,,left_only
"210 SPRING STREET WEST, PO BOX 516, FRIDAY HARBOR, WA 98250",http://maps.google.com/maps?q=A%20%20H%20STORES%2C210%20SPRING%20STREET%20WEST%2C+FRIDAY%20HARBOR%2C+WA+98250,48.534134,-123.01700600000001,A & H STORES,98250.0,DEA,WA,Dec2018,,,,,,,left_only
"536 ABBOTT ST., SALINAS, CA 93901",http://maps.google.com/maps?q=A%20%20O%20SPECIALTY%20PHARMACY%2C536%20ABBOTT%20ST.%2C+SALINAS%2C+CA+93901,36.66493,-121.64361000000001,A & O SPECIALTY PHARMACY,93901.0,DEA,CA,Dec2018,,,,,,,left_only
"17833 1ST AVE. S. STE. C, NORMANDY PARK, WA 98148",http://maps.google.com/maps?q=ACCESS%20PHARMACY%2C17833%201ST%20AVE.%20S.%20STE.%20C%2C+NORMANDY%20PARK%2C+WA+98148,47.44309000000001,-122.33425,ACCESS PHARMACY,98148.0,DEA,WA,Dec2018,,,,,,,left_only
"1018 WEST ATHERTON DRIVE, SUITE 202, SALT LAKE CITY, UT 84123",http://maps.google.com/maps?q=ACUPHARM%20LLC%2C1018%20WEST%20ATHERTON%20DRIVE%2C+SALT%20LAKE%20CITY%2C+UT+84123,40.671079999999996,-111.92193600000002,"ACUPHARM, LLC",84123.0,DEA,UT,Dec2018,,,,,,,left_only
"10820 MARVIN JONES BLVD, DOWLING PARK, FL 32060",http://maps.google.com/maps?q=ACV%20COMMUNITY%20SERVICES%20LLC%2C10820%20MARVIN%20JONES%20BLVD%2C+DOWLING%20PARK%2C+FL+32060,30.253909000000004,-83.235371,ACV COMMUNITY SERVICES LLC,32060.0,DEA,FL,Dec2018,,,,,,,left_only
"113 N. 9TH ST, ADEL, IA 50003",http://maps.google.com/maps?q=ADEL%20HEALTHMART%2C113%20%20N.%209TH%20ST%2C+ADEL%2C+IA+50003,41.61734000000001,-94.01874000000001,ADEL HEALTHMART,50003.0,DEA,IA,Dec2018,,,,,,,left_only
"4315 MAIN STREET, PORT HENRY, NY 12974",http://maps.google.com/maps?q=ADIRONDACK%20APOTHECARY%20LLC%2C4315%20MAIN%20STREET%2C+PORT%20HENRY%2C+NY+12974,44.048294,-73.459625,ADIRONDACK APOTHECARY LLC,12974.0,DEA,NY,Dec2018,,,,,,,left_only
"1325 N MAIN ST STE H, ADRIAN, MI 49221",http://maps.google.com/maps?q=ADRIAN%20PHARMACY%20LLC%2C1325%20N%20MAIN%20ST%20STE%20H%2C+ADRIAN%2C+MI+49221,41.880978000000006,-84.04325,ADRIAN PHARMACY LLC,49221.0,DEA,MI,Dec2018,,,,,,,left_only
"2000 S. MAYS STREET, SUITE 200, ROUND ROCK, TX 78664",http://maps.google.com/maps?q=ADVANCED%20RX%20PHARMACY%2C2000%20S.%20MAYS%20STREET%2C+ROUND%20ROCK%2C+TX+78664,30.528885,-97.68823,ADVANCED RX PHARMACY 030,78664.0,DEA,TX,Dec2018,,,,,,,left_only
"4800 S. SAGINAW ST., SUITE 1675, FLINT, MI 48507",http://maps.google.com/maps?q=ADVANCED%20SPECIALTY%20RX%20LLC%2C4800%20S.%20SAGINAW%20ST.%2C+FLINT%2C+MI+48507,42.982536100000004,-83.6760117,ADVANCED SPECIALTY RX LLC,48507.0,DEA,MI,Dec2018,,,,,,,left_only
"3685-A LEAPHART ROAD, WEST COLUMBIA, SC 29169",http://maps.google.com/maps?q=AGAPE%20PHARMACY%2C3685-A%20LEAPHART%20ROAD%2C+WEST%20COLUMBIA%2C+SC+29169,34.003464,-81.135666,AGAPE PHARMACY,29169.0,DEA,SC,Dec2018,,,,,,,left_only
"276 S. MILL ST., SUITE A, TEHACHAPI, CA 93561",http://maps.google.com/maps?q=AGIA%20PHARMACY%20%20CAFE%2C276%20S.%20MILL%20ST.%2C+TEHACHAPI%2C+CA+93561,35.13085,-118.45265,AGIA PHARMACY & CAFE,93561.0,DEA,CA,Dec2018,,,,,,,left_only
"1230 N. HIGH STREET, COLUMBUS, OH 43201",http://maps.google.com/maps?q=AHF%20PHARMACY%2C1230%20N.%20HIGH%20STREET%2C+COLUMBUS%2C+OH+43201,39.98753,-83.00559,AHF PHARMACY,43201.0,DEA,OH,Dec2018,,,,,,,left_only
"1858 CHESHIRE BRIDGE ROAD NE, ATLANTA, GA 30324",http://maps.google.com/maps?q=AHF%20PHARMACY%2C1858%20CHESHIRE%20BRIDGE%20ROAD%20NE%2C+ATLANTA%2C+GA+30324,33.809395,-84.36189,AHF PHARMACY,30324.0,DEA,GA,Dec2018,,,,,,,left_only
"3920 CEDAR SPRINGS ROAD, DALLAS, TX 75219",http://maps.google.com/maps?q=AHF%20PHARMACY%2C3920%20CEDAR%20SPRINGS%20ROAD%2C+DALLAS%2C+TX+75219,32.81022,-96.81018,AHF PHARMACY,75219.0,DEA,TX,Dec2018,,,,,,,left_only
"400 N BEACH STREET, STE 102, FORT WORTH, TX 76111",http://maps.google.com/maps?q=AHF%20PHARMACY%2C400%20N%20BEACH%20STREET%2C%20STE%20102%2C+FORT%20WORTH%2C+TX+76111,32.762177,-97.2877,AHF PHARMACY,76111.0,DEA,TX,Dec2018,,,,,,,left_only
