,name,state,postal,googleMapsUrl,address,source,source_date,lat,lng
0,ACTON POLICE DEPARTMENT,MA,1720,"http://maps.google.com/maps?q=371 MAIN ST,+ACTON,+MA+01720&hl=en","371 MAIN ST, ACTON, MA 01720",DEA,NTBD2018,42.480667,-71.44496
1,ADELPHI UNIVERSITY,NY,11530,"http://maps.google.com/maps?q=ONE SOUTH AVE, U.C. LOBBY,+GARDEN CITY,+NY+11530&hl=en","ONE SOUTH AVE, U.C. LOBBY, GARDEN CITY, NY 11530",DEA,NTBD2018,40.7197286,-73.6517101
2,ADELPHI UNIVERSITY GRETA TIBERIA,NY,11530,"https://www.google.com/maps/place/Adelphi+University/@40.7209787,-73.6542856,17z/data=!4m8!1m2!2m1!1sONE+SOUTH+AVE,+GARDEN+CITY,+GARDEN+CITY,+NY+11530!3m4!1s0x89c27d32e129369d:0x8283186767a60dd3!8m2!3d40.7197286!4d-73.6517101?hl=en","ONE SOUTH AVE, U.C. ROOM 310 GARDEN CITY, GARDEN CITY, NY 11530",DEA,NTBD2018,40.7206787,-73.6542856
3,ALBANY COUNTY SHERIFF,NY,12041,"http://maps.google.com/maps?q=58 VERDA AVENUE,+CLARKSVILLE,+NY+12041&hl=en","58 VERDA AVENUE, CLARKSVILLE, NY 12041",DEA,NTBD2018,42.576153,-73.954124
4,RCS COMMUNITY LIBRARY,NY,12143,"http://maps.google.com/maps?q=95 MAIN ST,+RAVENA,+NY+12143&hl=en","95 MAIN ST, RAVENA, NY 12143",DEA,NTBD2018,42.472095,-73.80862
5,ALBANY COLLEGE OF PHARMACY CAR PORT (DRIVE UP DROP OFF),NY,12208,"http://maps.google.com/maps?q=106 NEW SCOTLAND AVE.,+ALBANY,+NY+12208&hl=en","106 NEW SCOTLAND AVE., ALBANY, NY 12208",DEA,NTBD2018,42.65255,-73.77789
6,ALBANY POLICE DEPT. SOUTH STATION,NY,12202,"http://maps.google.com/maps?q=126 ARCH STREET,+ALBANY,+NY+12202&hl=en","126 ARCH STREET, ALBANY, NY 12202",DEA,NTBD2018,42.642426,-73.75672
7,CVS PHARMACY,NY,12205,"http://maps.google.com/maps?q=885 CENTRAL AVE.,+ALBANY,+NY+12205&hl=en","885 CENTRAL AVE., ALBANY, NY 12205",DEA,NTBD2018,42.68095,-73.791
8,ALSTEAD POLICE DEPARTMENT,NH,3602,"http://maps.google.com/maps?q=15 MECHANIC ST,+ALSTEAD,+NH+03602&hl=en","15 MECHANIC ST, ALSTEAD, NH 03602",DEA,NTBD2018,43.14905,-72.36076
9,WILDWOOD ELEMENTARY SCHOOL PARKING AREA,MA,1002,"http://maps.google.com/maps?q=71 STRONG STREET,+AMHERST,+MA+01002&hl=en","71 STRONG STREET, AMHERST, MA 01002",DEA,NTBD2018,42.388176,-72.514824
10,ARDSLEY VILLAGE HALL,NY,10502,"http://maps.google.com/maps?q=507 ASHFORD HALL,+ARDSLEY,+NY+10502&hl=en","507 ASHFORD HALL, ARDSLEY, NY 10502",DEA,NTBD2018,41.011166,-73.84568
11,ARLINGTON POLICE DEPARTMENT,MA,2474,"http://maps.google.com/maps?q=112 MYSTIC STREET,+ARLINGTON,+MA+02474&hl=en","112 MYSTIC STREET, ARLINGTON, MA 02474",DEA,NTBD2018,42.41935,-71.1519
12,ASHBY POLICE DEPARTMENT,MA,1431,"http://maps.google.com/maps?q=893 MAIN ST.,+ASHBY,+MA+01431&hl=en","893 MAIN ST., ASHBY, MA 01431",DEA,NTBD2018,42.67992,-71.828674
13,ASHFIELD PD,MA,1330,"http://maps.google.com/maps?q=412 MAIN STREET,+ASHFIELD,+MA+01330&hl=en","412 MAIN STREET, ASHFIELD, MA 01330",DEA,NTBD2018,42.52627,-72.79165
14,ASHLAND POLICE DEPARTMENT,MA,1721,"http://maps.google.com/maps?q=137 MAIN STREET,+ASHLAND,+MA+01721&hl=en","137 MAIN STREET, ASHLAND, MA 01721",DEA,NTBD2018,42.260326,-71.46481
15,ATTLEBORO POLICE DEPARTMENT,MA,2703,"http://maps.google.com/maps?q=12 UNION ST,+ATTLEBORO,+MA+02703&hl=en","12 UNION ST, ATTLEBORO, MA 02703",DEA,NTBD2018,41.94381,-71.281624
16,AVON SENIOR CENTER,CT,6001,"http://maps.google.com/maps?q=635 WEST AVON ROAD,+AVON,+CT+06001&hl=en","635 WEST AVON ROAD, AVON, CT 06001",DEA,NTBD2018,41.776054,-72.86285
17,WESTFORD PD,MA,1886,"http://maps.google.com/maps?q=53 MAIN STREET,+WESTFORD,+MA+01886&hl=en","53 MAIN STREET, WESTFORD, MA 01886",DEA,NTBD2018,42.58118,-71.43943
18,BELCHERTOWN CENTER PARKING LOT,MA,1007,"http://maps.google.com/maps?q=3 PARK STREET,+BELCHERTOWN,+MA+01007&hl=en","3 PARK STREET, BELCHERTOWN, MA 01007",DEA,NTBD2018,42.2785711,-72.4014756
19,BELLINGHAM POLICE STATION TRAINING ROOM,MA,2019,"http://maps.google.com/maps?q=30 BLACKSTONE STREET,+BELLINGHAM,+MA+02019&hl=en","30 BLACKSTONE STREET, BELLINGHAM, MA 02019",DEA,NTBD2018,42.07818,-71.46693
20,BELMONT DEPARTMENT OF PUBLIC WORKS,MA,2478,"http://maps.google.com/maps?q=39 C STREET,+BELMONT,+MA+02478&hl=en","39 C STREET, BELMONT, MA 02478",DEA,NTBD2018,42.38899,-71.18508
21,BENNINGTON COUNTY SHERIFF'S DEPT FRONT LOBBY,VT,5201,"http://maps.google.com/maps?q=811 US RT 7 SOUTH,+BENNINGTON,+VT+05201&hl=en","811 US RT 7 SOUTH, BENNINGTON, VT 05201",DEA,NTBD2018,42.8671313,-73.1962954
22,BENNINGTON POLICE DEPARTMENT FRONT LOBBY,VT,5201,"http://maps.google.com/maps?q=118 SOUTH STREET,+BENNINGTON,+VT+05201&hl=en","118 SOUTH STREET, BENNINGTON, VT 05201",DEA,NTBD2018,42.87821,-73.19714
23,"CVS DRUG STORE APRIL 28, 2018 FROM 10AM TO 2PM ONLY",VT,5201,"http://maps.google.com/maps?q=8 KOCHER DRIVE,+BENNINGTON,+VT+05201&hl=en","8 KOCHER DRIVE, BENNINGTON, VT 05201",DEA,NTBD2018,42.893887,-73.19367
24,MANCHESTER VT POLICE DEPARTMENT FRONT LOBBY,VT,5255,"http://maps.google.com/maps?q=6041 MAIN STREET,+MANCHESTER CENTER,+VT+05255&hl=en","6041 MAIN STREET, MANCHESTER CENTER, VT 05255",DEA,NTBD2018,43.188886,-73.0454163
25,SOUTHWESTERN VT MEDICAL CENTER FRONT LOBBY,VT,5201,"http://maps.google.com/maps?q=100 HOSPITAL DRIVE,+BENNINGTON,+VT+05201&hl=en","100 HOSPITAL DRIVE, BENNINGTON, VT 05201",DEA,NTBD2018,42.873596,-73.20565
26,WINHALL POLICE DEPARTMENT FRONT LOBBY,VT,5340,"http://maps.google.com/maps?q=113 VT RT 30,+BONDVILLE,+VT+05340&hl=en","113 VT RT 30, BONDVILLE, VT 05340",DEA,NTBD2018,43.18618,-72.93467
27,BERLIN POLICE DEPARTMENT / TOWN HALL PARKING CIRCLE FRONT OF TOWN HALL,CT,6037,"http://maps.google.com/maps?q=240 KENSINGTON RD,+BERLIN,+CT+06037&hl=en","240 KENSINGTON RD, BERLIN, CT 06037",DEA,NTBD2018,41.627888,-72.7706
28,BETHLEHEM TOWN PARK FRONT PARKING LOT,NY,12054,"http://maps.google.com/maps?q=249 ELM AVE.,+DELMAR,+NY+12054&hl=en","249 ELM AVE., DELMAR, NY 12054",DEA,NTBD2018,42.601345,-73.839966
29,BETHLEHEM RESIDENT TROOPER'S OFFICE,CT,6751,"http://maps.google.com/maps?q=36 MAIN ST. SOUTH,+BETHLEHEM,+CT+06751&hl=en","36 MAIN ST. SOUTH, BETHLEHEM, CT 06751",DEA,NTBD2018,41.63597,-73.2088
30,BILLERICA POLICE,MA,1821,"http://maps.google.com/maps?q=250 BOSTON RD,+BILLERICA,+MA+01821&hl=en","250 BOSTON RD, BILLERICA, MA 01821",DEA,NTBD2018,42.5751053,-71.2819271
31,BLACKSTONE POLICE DEPARTMENT,MA,1504,"http://maps.google.com/maps?q=15 ST. PAUL STREET,+BLACKSTONE,+MA+01504&hl=en","15 ST. PAUL STREET, BLACKSTONE, MA 01504",DEA,NTBD2018,42.0172849,-71.5335402
32,FAIRVIEW POLICE DEPARTMENT 201-943-2100,NJ,7022,"http://maps.google.com/maps?q=59 ANDERSON AVE.,+FAIRVIEW,+NJ+07022&hl=en","59 ANDERSON AVE., FAIRVIEW, NJ 07022",DEA,NTBD2018,40.81175,-73.99978
33,BOXBOROUGH POLICE DEPARTMENT OPEN 24/7,MA,1719,"https://www.google.com/maps/place/Boxboro+Police+Department/@42.4810974,-71.5095599,17z/data=!3m1!4b1!4m5!3m4!1s0x89e393bc046fd9d1:0x85abe832e1575bf7!8m2!3d42.4810935!4d-71.5073659?hl=en","520 MASSACHUSETTS AVENUE, BOXBOROUGH, MA 01719",DEA,NTBD2018,42.4810974,-71.5095599
34,BRADFORD POLICE DEPARTMENT,NH,3221,"http://maps.google.com/maps?q=2217 STATE ROUTE 114,+BRADFORD,+NH+03221&hl=en","2217 STATE ROUTE 114, BRADFORD, NH 03221",DEA,NTBD2018,43.2648156,-71.9511473
35,BRANFORD POLICE DEPARTMENT,CT,6405,"http://maps.google.com/maps?q=33 LAUREL STREET,+BRANFORD,+CT+06405&hl=en","33 LAUREL STREET, BRANFORD, CT 06405",DEA,NTBD2018,41.280487,-72.813995
36,BRISTOL WATER DEPARTMENT FRONT LOBBY : ONLY UNTIL 1:00 PM,CT,6010,"http://maps.google.com/maps?q=119 RIVERSIDE AVENUE,+BRISTOL,+CT+06010&hl=en","119 RIVERSIDE AVENUE, BRISTOL, CT 06010",DEA,NTBD2018,41.670612,-72.93961
37,BROOKFIELD POLICE DEPARTMENT,CT,6804,"http://maps.google.com/maps?q=63 SILVERMINE ROAD,+BROOKFIELD,+CT+06804&hl=en","63 SILVERMINE ROAD, BROOKFIELD, CT 06804",DEA,NTBD2018,41.46796,-73.39974
38,BROOKLINE SAFETY COMPLEX,NH,3033,"http://maps.google.com/maps?q=3 POST OFFICE DR,+BROOKLINE,+NH+03033&hl=en","3 POST OFFICE DR, BROOKLINE, NH 03033",DEA,NTBD2018,42.750374,-71.6687
39,BURRILLVILLE POLICE DEPARTMENT,RI,2830,"http://maps.google.com/maps?q=1477 VICTORY HWY,+HARRISVILLE,+RI+02830&hl=en","1477 VICTORY HWY, HARRISVILLE, RI 02830",DEA,NTBD2018,41.9642004,-71.6425513
40,CVS PHARMACY,NY,12413,"http://maps.google.com/maps?q=7600 ROUTE 32,+CAIRO,+NY+12413&hl=en","7600 ROUTE 32, CAIRO, NY 12413",DEA,NTBD2018,42.2938828,-73.988742
41,CVS PHARMACY,NY,12413,"http://maps.google.com/maps?q=7600 SR 32 CAIRO,+CAIRO,+NY+12413&hl=en","7600 SR 32 CAIRO, CAIRO, NY 12413",DEA,NTBD2018,42.2938828,-73.988742
42,CAMBRIDGE POLICE DEPARTMENT,MA,2142,"http://maps.google.com/maps?q=125 SIXTH STREET,+CAMBRIDGE,+MA+02142&hl=en","125 SIXTH STREET, CAMBRIDGE, MA 02142",DEA,NTBD2018,42.367245,-71.08584
43,CASTLETON POLICE DEPARTMENT,VT,5735,"http://maps.google.com/maps?q=263 VT ROUTE 30,+CASTLETON,+VT+05735&hl=en","263 VT ROUTE 30, CASTLETON, VT 05735",DEA,NTBD2018,43.6133034,-73.2083333
44,CENTRAL FALLS POLICE,RI,2863,"http://maps.google.com/maps?q=160 ILLINOIS STREET,+CENTRAL FALLS,+RI+02863&hl=en","160 ILLINOIS STREET, CENTRAL FALLS, RI 02863",DEA,NTBD2018,41.888317,-71.39276
45,CHELMSFORD PD,MA,1824,"http://maps.google.com/maps?q=2 OLDE NORTH RD,+CHELMSFORD,+MA+01824&hl=en","2 OLDE NORTH RD, CHELMSFORD, MA 01824",DEA,NTBD2018,42.62001,-71.36653
46,CHESHIRE POLICE DEPARTMENT (LOBBY),CT,6410,"http://maps.google.com/maps?q=CHESHIRE POLICE DEPARTMENT,+CHESHIRE,+CT+06410&hl=en","CHESHIRE POLICE DEPARTMENT500 HIGHLAND AVENUE, CHESHIRE, CT 06410",DEA,NTBD2018,41.5110207,-72.8987829
47,WALGREENS PHARMACY,RI,2909,"http://maps.google.com/maps?q=1 POCASSET AVE,+PROVIDENCE,+RI+02909&hl=en","1 POCASSET AVE, PROVIDENCE, RI 02909",DEA,NTBD2018,41.81296,-71.44883
48,CVS PARKING LOT CORNER OF WALL SST & BROAD ST,NH,3743,"https://www.google.com/maps/place/Wall+St,+Claremont,+NH+03743/@43.3733413,-72.3372696,17z/data=!3m1!4b1!4m5!3m4!1s0x89e1c1de39281c71:0x98e02b9ccbfd3356!8m2!3d43.3733413!4d-72.3350809?hl=en","WALL ST, CLAREMONT, NH 03743",DEA,NTBD2018,43.3733413,-72.3372696
49,CLARK UNIVERSITY HIGGINS STUDENT CENTER,MA,1610,"http://maps.google.com/maps?q=950 MAIN STREET,+WORCESTER,+MA+01610&hl=en","950 MAIN STREET, WORCESTER, MA 01610",DEA,NTBD2018,42.249676,-71.823265
50,SHOP RITE,CT,6413,"http://maps.google.com/maps?q=266 E MAIN ST.,+CLINTON,+CT+06413&hl=en","266 E MAIN ST., CLINTON, CT 06413",DEA,NTBD2018,41.2703251,-72.5012198
51,CLOSTER POLICE GARAGE 201-768-5000,NJ,7624,"http://maps.google.com/maps?q=295 CLOSTER  DOCK ROAD,+CLOSTER,+NJ+07624&hl=en","295 CLOSTER  DOCK ROAD, CLOSTER, NJ 07624",DEA,NTBD2018,40.971402,-73.9592644
52,THE CROSSINGS OF COLONIE PARK TOWN OF COLONIE,NY,12211,"http://maps.google.com/maps?q=580 ALBANY SHAKER ROAD,+LOUDONVILLE,+NY+12211&hl=en","580 ALBANY SHAKER ROAD, LOUDONVILLE, NY 12211",DEA,NTBD2018,42.717995,-73.7867
53,CSP BETHANY SGT. BRENT AIKEN #189,CT,6524,"http://maps.google.com/maps?q=631 AMITY RD,+BETHANY,+CT+06524&hl=en","631 AMITY RD, BETHANY, CT 06524",DEA,NTBD2018,41.438087,-72.99162
54,GRISWOLD TOWN HALL,CT,6351,"http://maps.google.com/maps?q=28 MAIN STREET,+JEWETT CITY,+CT+06351&hl=en","28 MAIN STREET, JEWETT CITY, CT 06351",DEA,NTBD2018,41.60528,-71.98329
55,COXSACKIE POLICE DEPARTMENT,NY,12051,"http://maps.google.com/maps?q=119 MANSION STREET,+COXSACKIE,+NY+12051&hl=en","119 MANSION STREET, COXSACKIE, NY 12051",DEA,NTBD2018,42.35546,-73.80777
56,CRANSTON POLICE STATION,RI,2920,"http://maps.google.com/maps?q=5 GARFIELD AVE,+CRANSTON,+RI+02920&hl=en","5 GARFIELD AVE, CRANSTON, RI 02920",DEA,NTBD2018,41.796387,-71.44228
57,CRESSKILL POLICE DEPARTMENT,NJ,7626,"http://maps.google.com/maps?q=67 UNION AVENUE,+CRESSKILL,+NJ+07626&hl=en","67 UNION AVENUE, CRESSKILL, NJ 07626",DEA,NTBD2018,40.9415,-73.96005
58,CROMWELL POLICE DEPARTMENT LOBBY,CT,6416,"http://maps.google.com/maps?q=5 WEST STREET,+CROMWELL,+CT+06416&hl=en","5 WEST STREET, CROMWELL, CT 06416",DEA,NTBD2018,41.596104,-72.64688
59,CSP - TROOP B BARRACKS FRONT ENTRANCE,CT,6018,"http://maps.google.com/maps?q=463 ASHLEY FALLS RD.,+NORTH CANAAN,+CT+06018&hl=en","463 ASHLEY FALLS RD., NORTH CANAAN, CT 06018",DEA,NTBD2018,42.043938,-73.32554
60,NEW HARTFORD RESIDENT TROOPER OFFICE REAR OF TOWN HALL BUILDING,CT,6057,"http://maps.google.com/maps?q=530 MAIN STREET,+NEW HARTFORD,+CT+06057&hl=en","530 MAIN STREET, NEW HARTFORD, CT 06057",DEA,NTBD2018,41.8786535,-72.9798367
61,CUMBERLAND POLICE STATION,RI,2864,"http://maps.google.com/maps?q=1380 DIAMOND HILL ROAD,+CUMBERLAND,+RI+02864&hl=en","1380 DIAMOND HILL ROAD, CUMBERLAND, RI 02864",DEA,NTBD2018,41.92921,-71.4013
62,CUMMINGTON POLICE DEPARTMENT CUMMINGTON PUBLIC SAFETY COMPLEX,MA,1026,"http://maps.google.com/maps?q=8 FAIRGROUNDS ROAD,+CUMMINGTON,+MA+01026&hl=en","8 FAIRGROUNDS ROADBOX 98, CUMMINGTON, MA 01026",DEA,NTBD2018,42.44928,-72.89208
63,DANBURY POLICE DEPARTMENT,CT,6810,"http://maps.google.com/maps?q=375 MAIN STREET,+DANBURY,+CT+06810&hl=en","375 MAIN STREET, DANBURY, CT 06810",DEA,NTBD2018,41.40073,-73.45852
64,NEW YORK CITY POLICE DEPARTMENT BRONX 42 PRECINCT,NY,10451,"http://maps.google.com/maps?q=830 WASHINGTON AVENUE MORRISANIA,+BRONX,+NY+10451&hl=en","830 WASHINGTON AVENUE MORRISANIA, BRONX, NY 10451",DEA,NTBD2018,40.822407,-73.91161
65,NEW YORK CITY POLICE DEPARTMENT BRONX 45 PRECINCT,NY,10465,"http://maps.google.com/maps?q=2877 BARKLEY AVENUE (SCHUYLERVILLE),+BRONX,+NY+10465&hl=en","2877 BARKLEY AVENUE (SCHUYLERVILLE), BRONX, NY 10465",DEA,NTBD2018,40.83062,-73.82731
66,NEW YORK CITY POLICE DEPARTMENT BRONX 46 PRECINCT,NY,10457,"http://maps.google.com/maps?q=2120 RYER AVENUE (FORDHAM),+BRONX,+NY+10457&hl=en","2120 RYER AVENUE (FORDHAM), BRONX, NY 10457",DEA,NTBD2018,40.853592,-73.90057
67,NEW YORK CITY POLICE DEPARTMENT BRONX 48 PRECINCT,NY,10457,"http://maps.google.com/maps?q=450 CROSS BRONX EXPRESSWAY (EAST TREMONT),+BRONX,+NY+10457&hl=en","450 CROSS BRONX EXPRESSWAY (EAST TREMONT), BRONX, NY 10457",DEA,NTBD2018,40.844086,-73.897705
68,NEW YORK CITY POLICE DEPARTMENT BRONX 50TH PRECINCT,NY,10463,"http://maps.google.com/maps?q=3450 KINGSBRIDGE AVENUE (KINGSBRIDGE),+BRONX,+NY+10463&hl=en","3450 KINGSBRIDGE AVENUE (KINGSBRIDGE), BRONX, NY 10463",DEA,NTBD2018,40.882763,-73.90367
69,NEW YORK CITY POLICE DEPARTMENT BROOKLYN 78 PRECINCT,NY,11217,"http://maps.google.com/maps?q=65 SIXTH AVENUE (FLATBUSH),+BROOKLYN,+NY+11217&hl=en","65 SIXTH AVENUE (FLATBUSH), BROOKLYN, NY 11217",DEA,NTBD2018,40.680794,-73.97447
70,NEW YORK CITY POLICE DEPARTMENT BROOKLYN 84 PRECINCT,NY,11201,"http://maps.google.com/maps?q=301 GOLD STREET,+BROOKLYN,+NY+11201&hl=en","301 GOLD STREET, BROOKLYN, NY 11201",DEA,NTBD2018,40.695827,-73.98321
71,NEW YORK CITY POLICE DEPARTMENT BROOKLYN 90TH PRECINCT,NY,11206,"http://maps.google.com/maps?q=211 UNION AVENUE (WILLIAMSBURG),+BROOKLYN,+NY+11206&hl=en","211 UNION AVENUE (WILLIAMSBURG), BROOKLYN, NY 11206",DEA,NTBD2018,40.706882,-73.950455
72,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 10 PRECINCT,NY,10011,"http://maps.google.com/maps?q=230 WEST 20TH STREET CHELSEA,+NEW YORK,+NY+10011&hl=en","230 WEST 20TH STREET CHELSEA, NEW YORK, NY 10011",DEA,NTBD2018,40.742626,-73.99797
73,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 13 PRECINCT,NY,10010,"http://maps.google.com/maps?q=230 EAST 21ST STREET STUYVESTANT TOWN,+NEW YORK,+NY+10010&hl=en","230 EAST 21ST STREET STUYVESTANT TOWN, NEW YORK, NY 10010",DEA,NTBD2018,40.737225,-73.98333
74,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 20 PRECINCT,NY,10024,"http://maps.google.com/maps?q=120 WEST 82ND STREET,+NEW YORK,+NY+10024&hl=en","120 WEST 82ND STREET, NEW YORK, NY 10024",DEA,NTBD2018,40.7842,-73.97478
75,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 25 PRECINCT,NY,10035,"http://maps.google.com/maps?q=120 EAST 119TH STREET,+NEW YORK,+NY+10035&hl=en","120 EAST 119TH STREET, NEW YORK, NY 10035",DEA,NTBD2018,40.80093,-73.94111
76,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 7 PRECINCT,NY,10002,"http://maps.google.com/maps?q=19 1/2 PITT STREET LOWER EAST SIDE,+NEW YORK,+NY+10002&hl=en","19 1/2 PITT STREET LOWER EAST SIDE, NEW YORK, NY 10002",DEA,NTBD2018,40.716423,-73.98346
77,NEW YORK CITY POLICE DEPARTMENT QUEENS 100TH PRECINCT,NY,11693,"http://maps.google.com/maps?q=92-24 ROCKAWAY BEACH BOULEVARD (ROCKAWAY),+FAR ROCKAWAY,+NY+11693&hl=en","92-24 ROCKAWAY BEACH BOULEVARD (ROCKAWAY), FAR ROCKAWAY, NY 11693",DEA,NTBD2018,40.586327,-73.81578
78,NEW YORK CITY POLICE DEPARTMENT QUEENS 103RD PRECINCT,NY,11432,"http://maps.google.com/maps?q=168-02 PO EDWARD BYRNE AVENUE (JAMAICA),+JAMAICA,+NY+11432&hl=en","168-02 PO EDWARD BYRNE AVENUE (JAMAICA), JAMAICA, NY 11432",DEA,NTBD2018,40.7070813,-73.7926447
79,NEW YORK CITY POLICE DEPARTMENT QUEENS 111 PRECINCT,NY,11361,"http://maps.google.com/maps?q=45-06 215TH STREET (BAYSIDE),+BAYSIDE,+NY+11361&hl=en","45-06 215TH STREET (BAYSIDE), BAYSIDE, NY 11361",DEA,NTBD2018,40.760277,-73.76746
80,NEW YORK CITY POLICE DEPARTMENT QUEENS 112TH PRECINCT,NY,11375,"http://maps.google.com/maps?q=68-04 AUSTIN STREET (FOREST HILLS),+FOREST HILLS,+NY+11375&hl=en","68-04 AUSTIN STREET (FOREST HILLS), FOREST HILLS, NY 11375",DEA,NTBD2018,40.722927,-73.85236
81,DEDHAM POLICE STATION,MA,2026,"http://maps.google.com/maps?q=600 HIGH STREET,+DEDHAM,+MA+02026&hl=en","600 HIGH STREET, DEDHAM, MA 02026",DEA,NTBD2018,42.24837,-71.17405
82,DEERFIELD POLICE DEPARTMENT,MA,1373,"http://maps.google.com/maps?q=8 CONWAY STREET,+SOUTH DEERFIELD,+MA+01373&hl=en","8 CONWAY STREET, SOUTH DEERFIELD, MA 01373",DEA,NTBD2018,42.479496,-72.609436
