address,googleMapsUrl,lat,lng,name,postal,source,state,source_date
"1315 WYOMING STE B, MISSOULA, MT 59801",http://maps.google.com/maps?q=CLINIC%20PHARMACY%2C1315%20WYOMING%20STE%20B%2C+MISSOULA%2C+MT+59801,46.871906,-114.01592,406 CLINIC PHARMACY,59801,DEA,MT,Dec2018
"1361 S. PATRICK DRIVE, PATRICK AFB, FL 32925",http://maps.google.com/maps?q=TH%20MEDICAL%20GROUP%20SATELLITE%20PHARMACY%2C1361%20S.%20PATRICK%20DRIVE%2C+PATRICK%20AFB%2C+FL+32925,28.217375300000004,-80.60467320000001,45TH MEDICAL GROUP SATELLITE PHARMACY,32925,DEA,FL,Dec2018
"210 SPRING STREET WEST, PO BOX 516, FRIDAY HARBOR, WA 98250",http://maps.google.com/maps?q=A%20%20H%20STORES%2C210%20SPRING%20STREET%20WEST%2C+FRIDAY%20HARBOR%2C+WA+98250,48.534134,-123.01700600000001,A & H STORES,98250,DEA,WA,Dec2018
"536 ABBOTT ST., SALINAS, CA 93901",http://maps.google.com/maps?q=A%20%20O%20SPECIALTY%20PHARMACY%2C536%20ABBOTT%20ST.%2C+SALINAS%2C+CA+93901,36.66493,-121.64361000000001,A & O SPECIALTY PHARMACY,93901,DEA,CA,Dec2018
"17833 1ST AVE. S. STE. C, NORMANDY PARK, WA 98148",http://maps.google.com/maps?q=ACCESS%20PHARMACY%2C17833%201ST%20AVE.%20S.%20STE.%20C%2C+NORMANDY%20PARK%2C+WA+98148,47.443090000000005,-122.33425,ACCESS PHARMACY,98148,DEA,WA,Dec2018
"1018 WEST ATHERTON DRIVE, SUITE 202, SALT LAKE CITY, UT 84123",http://maps.google.com/maps?q=ACUPHARM%20LLC%2C1018%20WEST%20ATHERTON%20DRIVE%2C+SALT%20LAKE%20CITY%2C+UT+84123,40.671079999999996,-111.92193600000002,"ACUPHARM, LLC",84123,DEA,UT,Dec2018
"10820 MARVIN JONES BLVD, DOWLING PARK, FL 32060",http://maps.google.com/maps?q=ACV%20COMMUNITY%20SERVICES%20LLC%2C10820%20MARVIN%20JONES%20BLVD%2C+DOWLING%20PARK%2C+FL+32060,30.253909000000004,-83.235371,ACV COMMUNITY SERVICES LLC,32060,DEA,FL,Dec2018
"113 N. 9TH ST, ADEL, IA 50003",http://maps.google.com/maps?q=ADEL%20HEALTHMART%2C113%20%20N.%209TH%20ST%2C+ADEL%2C+IA+50003,41.617340000000006,-94.01874000000001,ADEL HEALTHMART,50003,DEA,IA,Dec2018
"4315 MAIN STREET, PORT HENRY, NY 12974",http://maps.google.com/maps?q=ADIRONDACK%20APOTHECARY%20LLC%2C4315%20MAIN%20STREET%2C+PORT%20HENRY%2C+NY+12974,44.048294,-73.459625,ADIRONDACK APOTHECARY LLC,12974,DEA,NY,Dec2018
"1325 N MAIN ST STE H, ADRIAN, MI 49221",http://maps.google.com/maps?q=ADRIAN%20PHARMACY%20LLC%2C1325%20N%20MAIN%20ST%20STE%20H%2C+ADRIAN%2C+MI+49221,41.880978000000006,-84.04325,ADRIAN PHARMACY LLC,49221,DEA,MI,Dec2018
