0,371 MAIN ST,ACTON,MA,1720,
1,"ONE SOUTH AVE, U.C. LOBBY",GARDEN CITY,NY,11530,
2,"ONE SOUTH AVE, U.C. ROOMM 310GARDEN CITY",GARDEN CITY,NY,11530,
3,58 VERDA AVENUE,CLARKSVILLE,NY,12041,
4,95 MAIN ST,RAVENA,NY,12143,
5,106 NEW SCOTLAND AVE.,ALBANY,NY,12208,
6,126 ARCH STREET,ALBANY,NY,12202,
7,885 CENTRAL AVE.,ALBANY,NY,12205,
8,15 MECHANIC ST,ALSTEAD,NH,3602,
9,71 STRONG STREET,AMHERST,MA,1002,
10,507 ASHFORD HALL,ARDSLEY,NY,10502,
11,112 MYSTIC STREET,ARLINGTON,MA,2474,
12,893 MAIN ST.,ASHBY,MA,1431,
13,412 MAIN STREET,ASHFIELD,MA,1330,
14,137 MAIN STREET,ASHLAND,MA,1721,
15,12 UNION ST,ATTLEBORO,MA,2703,
16,635 WEST AVON ROAD,AVON,CT,6001,
17,53 MAIN STREET,WESTFORD,MA,1886,
18,3 PARK STREET,BELCHERTOWN,MA,1007,
19,30 BLACKSTONE STREET,BELLINGHAM,MA,2019,
20,39 C STREET,BELMONT,MA,2478,
21,811 US RT 7 SOUTH,BENNINGTON,VT,5201,
22,118 SOUTH STREET,BENNINGTON,VT,5201,
23,8 KOCHER DRIVE,BENNINGTON,VT,5201,
24,6041 MAIN STREET,MANCHESTER CENTER,VT,5255,
25,100 HOSPITAL DRIVE,BENNINGTON,VT,5201,
26,113 VT RT 30,BONDVILLE,VT,5340,
27,240 KENSINGTON RD,BERLIN,CT,6037,
28,249 ELM AVE.,DELMAR,NY,12054,
29,36 MAIN ST. SOUTH,BETHLEHEM,CT,6751,
30,250 BOSTON RD,BILLERICA,MA,1821,
31,15 ST. PAUL STREET,BLACKSTONE,MA,1504,
32,59 ANDERSON AVE.,FAIRVIEW,NJ,7022,
33,FRONT LOBBY520 MASSACHUSETTS AVENUE,BOXBOROUGH,MA,1719,
34,2217 STATE ROUTE 114,BRADFORD,NH,3221,
35,33 LAUREL STREET,BRANFORD,CT,6405,
36,119 RIVERSIDE AVENUE,BRISTOL,CT,6010,
37,63 SILVERMINE ROAD,BROOKFIELD,CT,6804,
38,3 POST OFFICE DR,BROOKLINE,NH,3033,
39,1477 VICTORY HWY,HARRISVILLE,RI,2830,
40,7600 ROUTE 32,CAIRO,NY,12413,
41,7600 SR 32 CAIRO,CAIRO,NY,12413,
42,125 SIXTH STREET,CAMBRIDGE,MA,2142,
43,263 VT ROUTE 30,CASTLETON,VT,5735,
44,160 ILLINOIS STREET,CENTRAL FALLS,RI,2863,
45,2 OLDE NORTH RD,CHELMSFORD,MA,1824,
46,CHESHIRE POLICE DEPARTMENT500 HIGHLAND AVENUE,CHESHIRE,CT,6410,
47,1 POCASSET AVE,PROVIDENCE,RI,2909,
48,WALL STBROAD ST,CLAREMONT,NH,3743,
49,950 MAIN STREET,WORCESTER,MA,1610,
50,266 E MAIN ST.,CLINTON,CT,6413,
51,295 CLOSTER  DOCK ROAD,CLOSTER,NJ,7624,
52,580 ALBANY SHAKER ROAD,LOUDONVILLE,NY,12211,
53,631 AMITY RD,BETHANY,CT,6524,
54,28 MAIN STREET,JEWETT CITY,CT,6351,
55,119 MANSION STREET,COXSACKIE,NY,12051,
56,5 GARFIELD AVE,CRANSTON,RI,2920,
57,67 UNION AVENUE,CRESSKILL,NJ,7626,
58,5 WEST STREET,CROMWELL,CT,6416,
59,463 ASHLEY FALLS RD.,NORTH CANAAN,CT,6018,
60,530 MAIN STREET,NEW HARTFORD,CT,6057,
61,1380 DIAMOND HILL ROAD,CUMBERLAND,RI,2864,
62,8 FAIRGROUNDS ROADBOX 98,CUMMINGTON,MA,1026,
63,375 MAIN STREET,DANBURY,CT,6810,
64,830 WASHINGTON AVENUE MORRISANIA,BRONX,NY,10451,
65,2877 BARKLEY AVENUE (SCHUYLERVILLE),BRONX,NY,10465,
66,2120 RYER AVENUE (FORDHAM),BRONX,NY,10457,
67,450 CROSS BRONX EXPRESSWAY (EAST TREMONT),BRONX,NY,10457,
68,3450 KINGSBRIDGE AVENUE (KINGSBRIDGE),BRONX,NY,10463,
69,65 SIXTH AVENUE (FLATBUSH),BROOKLYN,NY,11217,
70,301 GOLD STREET,BROOKLYN,NY,11201,
71,211 UNION AVENUE (WILLIAMSBURG),BROOKLYN,NY,11206,
72,230 WEST 20TH STREET CHELSEA,NEW YORK,NY,10011,
73,230 EAST 21ST STREET STUYVESTANT TOWN,NEW YORK,NY,10010,
74,120 WEST 82ND STREET,NEW YORK,NY,10024,
75,120 EAST 119TH STREET,NEW YORK,NY,10035,
76,19 1/2 PITT STREET LOWER EAST SIDE,NEW YORK,NY,10002,
77,92-24 ROCKAWAY BEACH BOULEVARD (ROCKAWAY),FAR ROCKAWAY,NY,11693,
