,name,state,postal,googleMapsUrl,address,source,source_date,lat,lng
1,ADELPHI UNIVERSITY,NY,11530,"http://maps.google.com/maps?q=ONE SOUTH AVE, U.C. LOBBY,+GARDEN CITY,+NY+11530&hl=en","ONE SOUTH AVE, U.C. LOBBY, GARDEN CITY, NY 11530",DEA,NTBD2018,40.7197286,-73.6517101
2,ADELPHI UNIVERSITY GRETA TIBERIA,NY,11530,"http://maps.google.com/maps?q=ONE SOUTH AVE, U.C. ROOMM 310,+GARDEN CITY,+NY+11530&hl=en","ONE SOUTH AVE, U.C. ROOM 310 GARDEN CITY, GARDEN CITY, NY 11530",DEA,NTBD2018,40.7187717,-73.6518733
18,BELCHERTOWN CENTER PARKING LOT,MA,1007,"http://maps.google.com/maps?q=3 PARK STREET,+BELCHERTOWN,+MA+01007&hl=en","3 PARK STREET, BELCHERTOWN, MA 01007",DEA,NTBD2018,42.2785711,-72.4014756
21,BENNINGTON COUNTY SHERIFF'S DEPT FRONT LOBBY,VT,5201,"http://maps.google.com/maps?q=811 US RT 7 SOUTH,+BENNINGTON,+VT+05201&hl=en","811 US RT 7 SOUTH, BENNINGTON, VT 05201",DEA,NTBD2018,42.8671313,-73.1962954
24,MANCHESTER VT POLICE DEPARTMENT FRONT LOBBY,VT,5255,"http://maps.google.com/maps?q=6041 MAIN STREET,+MANCHESTER CENTER,+VT+05255&hl=en","6041 MAIN STREET, MANCHESTER CENTER, VT 05255",DEA,NTBD2018,43.188886,-73.0454163
30,BILLERICA POLICE,MA,1821,"http://maps.google.com/maps?q=250 BOSTON RD,+BILLERICA,+MA+01821&hl=en","250 BOSTON RD, BILLERICA, MA 01821",DEA,NTBD2018,42.5751053,-71.2819271
31,BLACKSTONE POLICE DEPARTMENT,MA,1504,"http://maps.google.com/maps?q=15 ST. PAUL STREET,+BLACKSTONE,+MA+01504&hl=en","15 ST. PAUL STREET, BLACKSTONE, MA 01504",DEA,NTBD2018,42.0172849,-71.5335402
33,BOXBOROUGH POLICE DEPARTMENT OPEN 24/7,MA,1719,"https://www.google.com/maps/place/Boxboro+Police+Department/@42.4811222,-71.5091999,17.25z/data=!4m13!1m7!3m6!1s0x89e393bc1c6784f3:0x12539021bfeb0e0d!2s520+Massachusetts+Ave,+Boxborough,+MA+01719!3b1!8m2!3d42.4811197!4d-71.5073407!3m4!1s0x89e393bc046fd9d1:0x85abe832e1575bf7!8m2!3d42.4810935!4d-71.5073659?hl=en","FRONT LOBBY 520 MASSACHUSETTS AVENUE, BOXBOROUGH, MA 01719",DEA,NTBD2018,42.4811222,-71.5091999
34,BRADFORD POLICE DEPARTMENT,NH,3221,"http://maps.google.com/maps?q=2217 STATE ROUTE 114,+BRADFORD,+NH+03221&hl=en","2217 STATE ROUTE 114, BRADFORD, NH 03221",DEA,NTBD2018,43.2648156,-71.9511473
39,BURRILLVILLE POLICE DEPARTMENT,RI,2830,"http://maps.google.com/maps?q=1477 VICTORY HWY,+HARRISVILLE,+RI+02830&hl=en","1477 VICTORY HWY, HARRISVILLE, RI 02830",DEA,NTBD2018,41.9642004,-71.6425513
