,name,state,postal,googleMapsUrl,address,source,source_date,lat,lng
1,ADELPHI UNIVERSITY,NY,11530,"http://maps.google.com/maps?q=ONE SOUTH AVE, U.C. LOBBY,+GARDEN CITY,+NY+11530&hl=en","ONE SOUTH AVE, U.C. LOBBY, GARDEN CITY, NY 11530",DEA,NTBD2018,,
2,ADELPHI UNIVERSITY GRETA TIBERIA,NY,11530,"http://maps.google.com/maps?q=ONE SOUTH AVE, U.C. ROOMM 310,+GARDEN CITY,+NY+11530&hl=en","ONE SOUTH AVE, U.C. ROOM 310 GARDEN CITY, GARDEN CITY, NY 11530",DEA,NTBD2018,,
18,BELCHERTOWN CENTER PARKING LOT,MA,1007,"http://maps.google.com/maps?q=3 PARK STREET,+BELCHERTOWN,+MA+01007&hl=en","3 PARK STREET, BELCHERTOWN, MA 01007",DEA,NTBD2018,,
21,BENNINGTON COUNTY SHERIFF'S DEPT FRONT LOBBY,VT,5201,"http://maps.google.com/maps?q=811 US RT 7 SOUTH,+BENNINGTON,+VT+05201&hl=en","811 US RT 7 SOUTH, BENNINGTON, VT 05201",DEA,NTBD2018,,
24,MANCHESTER VT POLICE DEPARTMENT FRONT LOBBY,VT,5255,"http://maps.google.com/maps?q=6041 MAIN STREET,+MANCHESTER CENTER,+VT+05255&hl=en","6041 MAIN STREET, MANCHESTER CENTER, VT 05255",DEA,NTBD2018,,
30,BILLERICA POLICE,MA,1821,"http://maps.google.com/maps?q=250 BOSTON RD,+BILLERICA,+MA+01821&hl=en","250 BOSTON RD, BILLERICA, MA 01821",DEA,NTBD2018,,
31,BLACKSTONE POLICE DEPARTMENT,MA,1504,"http://maps.google.com/maps?q=15 ST. PAUL STREET,+BLACKSTONE,+MA+01504&hl=en","15 ST. PAUL STREET, BLACKSTONE, MA 01504",DEA,NTBD2018,,
33,BOXBOROUGH POLICE DEPARTMENT OPEN 24/7,MA,1719,"http://maps.google.com/maps?q=FRONT LOBBY,+BOXBOROUGH,+MA+01719&hl=en","FRONT LOBBY520 MASSACHUSETTS AVENUE, BOXBOROUGH, MA 01719",DEA,NTBD2018,,
34,BRADFORD POLICE DEPARTMENT,NH,3221,"http://maps.google.com/maps?q=2217 STATE ROUTE 114,+BRADFORD,+NH+03221&hl=en","2217 STATE ROUTE 114, BRADFORD, NH 03221",DEA,NTBD2018,,
39,BURRILLVILLE POLICE DEPARTMENT,RI,2830,"http://maps.google.com/maps?q=1477 VICTORY HWY,+HARRISVILLE,+RI+02830&hl=en","1477 VICTORY HWY, HARRISVILLE, RI 02830",DEA,NTBD2018,,
