name,Address 1,Address 2,"City, State Zip",googleMapsUrl,state,postal,source,source_date,address
13TH AVENUE PHARMACY INC,5211 13TH AVENUE,,"BROOKLYN, NY 11219",http://maps.google.com/maps?q=TH%20AVENUE%20PHARMACY%20INC%2C5211%2013TH%20AVENUE%2C+BROOKLYN%2C+NY+11219,NY,11219,DEA,Oct2018,"5211 13TH AVENUE, BROOKLYN, NY 11219"
AIDS HEALTHCARE FOUNDATION,475 ATLANTIC AVE,,"BROOKLYN, NY 11217",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C475%20ATLANTIC%20AVE%2C+BROOKLYN%2C+NY+11217,NY,11217,DEA,Oct2018,"475 ATLANTIC AVE, BROOKLYN, NY 11217"
ALEXANDER INFUSION LLC,75 NASSAU TERMINAL ROAD,,"NEW HYDE PARK, NY 11040",http://maps.google.com/maps?q=ALEXANDER%20INFUSION%20LLC%2C75%20NASSAU%20TERMINAL%20ROAD%2C+NEW%20HYDE%20PARK%2C+NY+11040,NY,11040,DEA,Oct2018,"75 NASSAU TERMINAL ROAD, NEW HYDE PARK, NY 11040"
ALLURE SPECIALTY PHARMACY,4377 BRONX BLVD,,"BRONX, NY 10466",http://maps.google.com/maps?q=ALLURE%20SPECIALTY%20PHARMACY%2C4377%20BRONX%20BLVD%2C+BRONX%2C+NY+10466,NY,10466,DEA,Oct2018,"4377 BRONX BLVD, BRONX, NY 10466"
AMI PHARMACY,4180 BROADWAY,,"NEW YORK, NY 10033",http://maps.google.com/maps?q=AMI%20PHARMACY%2C4180%20BROADWAY%2C+NEW%20YORK%2C+NY+10033,NY,10033,DEA,Oct2018,"4180 BROADWAY, NEW YORK, NY 10033"
"ANAYA I, INC.",23 S. MAIN ST.,UNIT A,"FREEPORT, NY 11520",http://maps.google.com/maps?q=ANAYA%20I%20INC%2C23%20S.%20MAIN%20ST.%2C+FREEPORT%2C+NY+11520,NY,11520,DEA,Oct2018,"23 S. MAIN ST., UNIT A, FREEPORT, NY 11520"
ASCAN PHARMACY INC.,101-21 METROPOLITAN AVENUE,,"FOREST HILLS, NY 11375",http://maps.google.com/maps?q=ASCAN%20PHARMACY%20INC%2C101-21%20METROPOLITAN%20AVENUE%2C+FOREST%20HILLS%2C+NY+11375,NY,11375,DEA,Oct2018,"101-21 METROPOLITAN AVENUE, FOREST HILLS, NY 11375"
AVIGHNA RX LLC,7 BEDFORD PARK BLVD,,"BRONX, NY 10468",http://maps.google.com/maps?q=AVIGHNA%20RX%20LLC%2C7%20BEDFORD%20PARK%20BLVD%2C+BRONX%2C+NY+10468,NY,10468,DEA,Oct2018,"7 BEDFORD PARK BLVD, BRONX, NY 10468"
AVK RX INC.,3904 CHURCH AVE,,"BROOKLYN, NY 11203",http://maps.google.com/maps?q=AVK%20RX%20INC%2C3904%20CHURCH%20AVE%2C+BROOKLYN%2C+NY+11203,NY,11203,DEA,Oct2018,"3904 CHURCH AVE, BROOKLYN, NY 11203"
AVONORA INC,14901 UNION TPKE,,"FLUSHING, NY 11367",http://maps.google.com/maps?q=AVONORA%20INC%2C14901%20UNION%20TPKE%2C+FLUSHING%2C+NY+11367,NY,11367,DEA,Oct2018,"14901 UNION TPKE, FLUSHING, NY 11367"
"B & B PHARMACY, INC.",79-08 37TH AVE,,"JACKSON HEIGHTS, NY 11372",http://maps.google.com/maps?q=B%20%20B%20PHARMACY%20INC%2C79-08%2037TH%20AVE%2C+JACKSON%20HEIGHTS%2C+NY+11372,NY,11372,DEA,Oct2018,"79-08 37TH AVE, JACKSON HEIGHTS, NY 11372"
BANDSTAND CORPORATION,226 PROSPECT PARK W,,"BROOKLYN, NY 11215",http://maps.google.com/maps?q=BANDSTAND%20CORPORATION%2C226%20PROSPECT%20PARK%20W%2C+BROOKLYN%2C+NY+11215,NY,11215,DEA,Oct2018,"226 PROSPECT PARK W, BROOKLYN, NY 11215"
BARDONIA PHARMACY LLC,301 ROUTE 304,SUITE 4,"BARDONIA, NY 10954",http://maps.google.com/maps?q=BARDONIA%20PHARMACY%20LLC%2C301%20ROUTE%20304%2C+BARDONIA%2C+NY+10954,NY,10954,DEA,Oct2018,"301 ROUTE 304, SUITE 4, BARDONIA, NY 10954"
BAYSIDE PHARMACY INC.,221-36 HORACE HARDING EXPRESSWAY,,"OAKLAND GARDENS, NY 11364",http://maps.google.com/maps?q=BAYSIDE%20PHARMACY%20INC%2C221-36%20HORACE%20HARDING%20EXPRESSWAY%2C+OAKLAND%20GARDENS%2C+NY+11364,NY,11364,DEA,Oct2018,"221-36 HORACE HARDING EXPRESSWAY, OAKLAND GARDENS, NY 11364"
BAYSTATE MEDICAL CENTER INC,759 CHESTNUT ST,,"SPRINGFIELD, MA 01199",http://maps.google.com/maps?q=BAYSTATE%20MEDICAL%20CENTER%20INC%2C759%20CHESTNUT%20ST%2C+SPRINGFIELD%2C+MA+01199,MA,1199,DEA,Oct2018,"759 CHESTNUT ST, SPRINGFIELD, MA 01199"
BESAEL CORP,DBA OAK PARK PHARMACY,205 PROSPECT PARK WEST,"BROOKLYN, NY 11215",http://maps.google.com/maps?q=BESAEL%20CORP%2CDBA%20OAK%20PARK%20PHARMACY%2C+BROOKLYN%2C+NY+11215,NY,11215,DEA,Oct2018,"DBA OAK PARK PHARMACY, 205 PROSPECT PARK WEST, BROOKLYN, NY 11215"
