0,371 MAIN ST,ACTON,MA,01720
1,"ONE SOUTH AVE, U.C. LOBBY",GARDEN CITY,NY,11530
2,58 VERDA AVENUE,CLARKSVILLE,NY,12041
3,95 MAIN STREET,RAVENA,NY,12143
4,106 NEW SCOTLAND AVE.,ALBANY,NY,12208
5,126 ARCH STREET,ALBANY,NY,12202
6,885 CENTRAL AVE.,ALBANY,NY,12205
7,15 MECHANIC ST,ALSTEAD,NH,03602
8,175 AMHERST STREET,AMHERST,NH,03031
9,71 STRONG STREET,AMHERST,MA,01002
10,507 ASHFORD HALL,ARDSLEY,NY,10502
11,112 MYSTIC STREET,ARLINGTON,MA,02474
12,893 MAIN ST.,ASHBY,MA,01431
13,137 MAIN STREET,ASHLAND,MA,01721
14,53 MAIN STREET,WESTFORD,MA,01886
15,2 MUDGE WAYPOLICE DEPARTMENT,BEDFORD,MA,01730
16,PARK STREETTOWN COMMON,BELCHERTOWN,MA,01007
17,30 BLACKSTONE STREET,BELLINGHAM,MA,02019
18,37 C STREET,BELMONT,MA,02478
19,811 US ROUTE 7 SOUTH,BENNINGTON,VT,05201
20,118 SOUTH STREET,BENNINGTON,VT,05201
21,6041 MAIN STREET,MANCHESTER CENTER,VT,05255
22,100 HOSPITAL DRIVE,BENNINGTON,VT,05201
23,113 VT ROUTE 30,BONDVILLE,VT,05340
24,240 KENSINGTON ROAD,BERLIN,CT,06037
25,631 AMITY ROAD,NEW HAVEN,CT,06525
26,249 ELM AVENUE,DELMAR,NY,12054
27,6 GOOD ST,BILLERICA,MA,01821
28,15 ST. PAUL STREET,BLACKSTONE,MA,01504
29,59 ANDERSON AVE.,FAIRVIEW,NJ,07022
30,301 WASHINGTON ST,BRIGHTON,MA,02135
31,520 MASSACHUSETTS AVENUEPOLICE DEPARTMENT,BOXBOROUGH,MA,01719
32,2217 STATE ROUTE 114,BRADFORD,NH,03221
33,33 LAUREL STREET,BRANFORD,CT,06405
34,240 STAFFORD AVENUE,BRISTOL,CT,06010
35,350 WASHINGTON ST.,BROOKLINE,MA,02445
