"3280","111 E. COURT STREET, METAMORA, IL, 61548","No_Match"
"3282","126 GROVE STREET, STANDISH, MI, 48658","Tie"
"3281","320 JOHNSON STREET, ALPENA, MI, 49707","Match","Exact","320 JOHNSON ST, ALPENA, MI, 49707","-83.450935,45.079903","642572206","L"
"3284","109 S CITY PARK, GLADWIN, MI, 48624","Match","Non_Exact","109 CITY PARK ST, GLADWIN, MI, 48624","-84.49191,43.97987","638722090","L"
"3283","200 W MICHIGAN AVE, GRAYLING, MI, 49738","Match","Exact","200 W MICHIGAN AVE, GRAYLING, MI, 49738","-84.71713,44.659958","174477110","L"
"3286","1020 CITY BLVD, GRAYLING, MI, 49738","No_Match"
"3285","226 E CENTER, ITHACA, MI, 48847","No_Match"
"3288","3283 WEST WASHINGTON, ALPENA, MI, 49707","Match","Non_Exact","3283 W WASHINGTON AVE, ALPENA, MI, 49707","-83.46904,45.061733","135791099","R"
"3287","428 W LAKE STREET, TAWAS CITY, MI, 48763","Tie"
"3278","1170 MICHIGAN ROAD, PORT HURON, MI, 48060","Match","Exact","1170 MICHIGAN RD, PORT HURON, MI, 48060","-82.48133,42.94154","110959257","R"
"531","2155 MAIN ST, BETHLEHEM, NH, 03574","Match","Exact","2155 MAIN ST, BETHLEHEM, NH, 03574","-71.6852,44.2805","145707007","L"
"530","135 GREEN ST, BERLIN, NH, 03570","Match","Exact","135 GREEN ST, BERLIN, NH, 03570","-71.186264,44.469936","167897575","L"
"3279","810 W WESTOVER STREET, EAST TAWAS, MI, 48730","Match","Exact","810 W WESTOVER ST, EAST TAWAS, MI, 48730","-83.50016,44.279057","644958753","R"
"2951","7145 GARDEN ROAD, MAUMEE, OH, 43537","Match","Exact","7145 GARDEN RD, MAUMEE, OH, 43537","-83.71108,41.59563","33930222","R"
"2950","635 NORTH ERIE STREET, TOLEDO, OH, 43604","Match","Exact","635 N ERIE ST, TOLEDO, OH, 43604","-83.533585,41.657352","33944680","L"
"2953","2469 SHORELAND DRIVE, TOLEDO, OH, 43611","Match","Non_Exact","2469 SHORELAND AVE, TOLEDO, OH, 43611","-83.48587,41.720528","33942376","L"
"1821","16032 FIFTEEN MILE BOULEVARD, ABINGDON, VA, 24211","No_Match"
"535","185 PORTLAND ROAD, BUXTON, ME, 04093","Match","Exact","185 PORTLAND RD, BUXTON, ME, 04093","-70.514244,43.614956","92782387","R"
"2952","10550 WATERVILLE STREET, WHITEHOUSE, OH, 43571","No_Match"
"1822","5325 LANGFORD AVE, CONCORD, NC, 28027","Match","Non_Exact","5325 LANGFORD AVE NW, CONCORD, NC, 28027","-80.67097,35.416134","600644254","R"
"534","72 MUNSILL AVENUE, BRISTOL, VT, 05443","Match","Exact","72 MUNSILL AVE, BRISTOL, VT, 05443","-73.085846,44.13639","136444155","R"
