address,lng,lat
"371 MAIN ST, ACTON, MA, 01720",-71.44496,42.480667
"ONE SOUTH AVE, U.C. LOBBY, GARDEN CITY, NY, 11530",,
"58 VERDA AVENUE, CLARKSVILLE, NY, 12041",-73.954124,42.576153
"95 MAIN STREET, RAVENA, NY, 12143",-73.80862,42.472095
"106 NEW SCOTLAND AVE., ALBANY, NY, 12208",-73.77789,42.65255
"126 ARCH STREET, ALBANY, NY, 12202",-73.75672,42.642426
"885 CENTRAL AVE., ALBANY, NY, 12205",,
"15 MECHANIC ST, ALSTEAD, NH, 03602",-72.36076,43.14905
"175 AMHERST STREET, AMHERST, NH, 03031",-71.61787,42.862892
"71 STRONG STREET, AMHERST, MA, 01002",-72.514824,42.388176
"507 ASHFORD HALL, ARDSLEY, NY, 10502",-73.84568,41.011166
"112 MYSTIC STREET, ARLINGTON, MA, 02474",-71.1519,42.41935
"893 MAIN ST., ASHBY, MA, 01431",-71.828674,42.67992
"137 MAIN STREET, ASHLAND, MA, 01721",-71.46481,42.260326
"53 MAIN STREET, WESTFORD, MA, 01886",-71.43943,42.58118
"2 MUDGE WAYPOLICE DEPARTMENT, BEDFORD, MA, 01730",-71.28296,42.49318
"PARK STREETTOWN COMMON, BELCHERTOWN, MA, 01007",,
"30 BLACKSTONE STREET, BELLINGHAM, MA, 02019",-71.46693,42.07818
"37 C STREET, BELMONT, MA, 02478",-71.185074,42.38897
"811 US ROUTE 7 SOUTH, BENNINGTON, VT, 05201",,
"118 SOUTH STREET, BENNINGTON, VT, 05201",-73.19714,42.87821
"6041 MAIN STREET, MANCHESTER CENTER, VT, 05255",,
"100 HOSPITAL DRIVE, BENNINGTON, VT, 05201",-73.20565,42.873596
"113 VT ROUTE 30, BONDVILLE, VT, 05340",-72.93467,43.186176
"240 KENSINGTON ROAD, BERLIN, CT, 06037",-72.7706,41.627888
"631 AMITY ROAD, NEW HAVEN, CT, 06525",,
"249 ELM AVENUE, DELMAR, NY, 12054",-73.839966,42.601345
