name,CollectionSite,Address 1,City,state,postal,googleMapsUrl,address,source,source_date
ACTON POLICE DEPARTMENT,ACTON POLICE STATION LOBBY KIOSK ACTON POLICE DEPARTMENT,371 MAIN ST,ACTON,MA,1720,"http://maps.google.com/maps?q=371 MAIN ST,+ACTON,+MA+01720&hl=en","371 MAIN ST, ACTON, MA 01720",DEA,NTBD_2018_OCT
ADELPHI UNIVERSITY,ADELPHI UNIVERSITY,"ONE SOUTH AVE, U.C. LOBBY",GARDEN CITY,NY,11530,"http://maps.google.com/maps?q=ONE SOUTH AVE, U.C. LOBBY,+GARDEN CITY,+NY+11530&hl=en","ONE SOUTH AVE, U.C. LOBBY, GARDEN CITY, NY 11530",DEA,NTBD_2018_OCT
ALBANY COUNTY SHERIFF,ALBANY COUNTY SHERIFF PATROL STATION,58 VERDA AVENUE,CLARKSVILLE,NY,12041,"http://maps.google.com/maps?q=58 VERDA AVENUE,+CLARKSVILLE,+NY+12041&hl=en","58 VERDA AVENUE, CLARKSVILLE, NY 12041",DEA,NTBD_2018_OCT
ALBANY COUNTY SHERIFF,RCS COMMUNITY LIBRARY,95 MAIN STREET,RAVENA,NY,12143,"http://maps.google.com/maps?q=95 MAIN STREET,+RAVENA,+NY+12143&hl=en","95 MAIN STREET, RAVENA, NY 12143",DEA,NTBD_2018_OCT
ALBANY NY POLICE DEPARTMENT,ALBANY COLLEGE OF PHARMACY CAR PORT (DRIVE UP DROP OFF),106 NEW SCOTLAND AVE.,ALBANY,NY,12208,"http://maps.google.com/maps?q=106 NEW SCOTLAND AVE.,+ALBANY,+NY+12208&hl=en","106 NEW SCOTLAND AVE., ALBANY, NY 12208",DEA,NTBD_2018_OCT
ALBANY NY POLICE DEPARTMENT,ALBANY POLICE DEPT. SOUTH STATION,126 ARCH STREET,ALBANY,NY,12202,"http://maps.google.com/maps?q=126 ARCH STREET,+ALBANY,+NY+12202&hl=en","126 ARCH STREET, ALBANY, NY 12202",DEA,NTBD_2018_OCT
ALBANY NY POLICE DEPARTMENT,CVS PHARMACY,885 CENTRAL AVE.,ALBANY,NY,12205,"http://maps.google.com/maps?q=885 CENTRAL AVE.,+ALBANY,+NY+12205&hl=en","885 CENTRAL AVE., ALBANY, NY 12205",DEA,NTBD_2018_OCT
ALSTEAD POLICE DEPARTMENT,ALSTEAD POLICE DEPARTMENT,15 MECHANIC ST,ALSTEAD,NH,3602,"http://maps.google.com/maps?q=15 MECHANIC ST,+ALSTEAD,+NH+03602&hl=en","15 MECHANIC ST, ALSTEAD, NH 03602",DEA,NTBD_2018_OCT
AMHERST POLICE DEPARTMENT,AMHERST POLICE DEPARTMENT MAIN LOBBY,175 AMHERST STREET,AMHERST,NH,3031,"http://maps.google.com/maps?q=175 AMHERST STREET,+AMHERST,+NH+03031&hl=en","175 AMHERST STREET, AMHERST, NH 03031",DEA,NTBD_2018_OCT
AMHERST POLICE DEPARTMENT,WILDWOOD SCHOOL PARKING AREA,71 STRONG STREET,AMHERST,MA,1002,"http://maps.google.com/maps?q=71 STRONG STREET,+AMHERST,+MA+01002&hl=en","71 STRONG STREET, AMHERST, MA 01002",DEA,NTBD_2018_OCT
