name,source,address,postal,state,lat,lng,city
US ARMY KIRK HEALTH CLINIC,DEA,"PHARMACY, ABERDEEN PROVING GROUND, ABERDEEN PROVING GROUND, MD 21005",21005,MD,39.4871925,-76.13606820000001,ABERDEEN PROVING GROUND
WALGREEN CO.,DEA,"3005 EMMORTON ROAD, ABINGDON, MD 21009",21009,MD,39.4770176,-76.30919879999999,ABINGDON
WILSON PHARMACY INC.  DBA MOUNTIAN STATES PHARMACY,DEA,"16000 JOHNSTON MEMORIAL DRIVE, ABINGDON, VA 24211",24211,VA,36.7226195,-81.91179489999999,ABINGDON
ALLIANCE PHARMACY CO,DEA,"1245 HIGHLAND AVE, ABINGTON, PA 19001",19001,PA,,,ABINGTON
DBA NUCARA PHARMACY #6,DEA,"722 MAIN ST., ACKLEY, IA 50601",50601,IA,42.55393060000001,-93.0523449,ACKLEY
"CVS PHARMACY, INC.",DEA,"400 MASSACHUSETTS AVENUE, ACTON, MA 01720",01720,MA,,,ACTON
ELDER CARE PHARMACY #2,DEA,"4769 S. MAIN STREET, SUITE A, ACWORTH, GA 30101",30101,GA,34.065031,-84.676016,ACWORTH
ADEL HEALTHMART,DEA,"113  N. 9TH ST, ADEL, IA 50003",50003,IA,41.6178169,-94.01896909999999,ADEL
ADRIAN PHARMACY LLC,DEA,"1325 N MAIN ST STE H, ADRIAN, MI 49221",49221,MI,41.9132139,-84.0269167,ADRIAN
MIZELLES DISCOUNT DRUG CO INC,DEA,"LOUIS E MIZELLE JR, 925 E MEMORIAL DRIVE, AHOSKIE, NC 27910",27910,NC,,,AHOSKIE
AIRWAY HGHTS CORRECTIONS CTR,DEA,"11919 W. SPRAGUE AVENUE, P O BOX 1899, AIRWAY HEIGHTS, WA 99001",99001,WA,47.6536931,-117.5784795,AIRWAY HEIGHTS
"GENOA, A QOL HEALTHCARE COMPANY, LLC",DEA,"340 SOUTH BROADWAY, AKRON, OH 44308",44308,OH,41.0760021,-81.51975139999999,AKRON
KAISER PERMANENTE PHARMACY #101,DEA,"KFHP ALAMEDA MOB PHARMACY, 2417 CENTRAL AVENUE, ALAMEDA, CA 94501",94501,CA,37.764173,-122.241916,ALAMEDA
WALGREEN CO.,DEA,"2300 OTIS DRIVE, ALAMEDA, CA 94501",94501,CA,,,ALAMEDA
MIDTOWN PHARMACY PROFESSIONAL CORPORATION,DEA,"2173 HARBOR BAY PARKWAY, ALAMEDA, CA 94502",94502,CA,37.7288787,-122.2471031,ALAMEDA
VALLEY WIDE PHARMACY,DEA,"1710 FIRST STREET, ALAMOSA, CO 81101",81101,CO,37.4724935,-105.8824317,ALAMOSA
"GENOA, A QOL HEALTHCARE COMPANY, LLC",DEA,"8745 COUNTY ROAD 9 SOUTH, STE 152, ALAMOSA, CO 81101",81101,CO,37.4448858,-105.8795391,ALAMOSA
WALGREEN CO,DEA,"2414 SYLVESTER RD, ALBANY, GA 31705",31705,GA,31.5742008,-84.0916424,ALBANY
"GRAND ST. PAUL CVS, L.L.C.",DEA,"740 RAILROAD AVE., P.O. BOX 550, ALBANY, MN 56307",56307,MN,,,ALBANY
CURT'S LONG TERM CARE PHARMACY,DEA,"1615 W MAIN ST, SUITE B, ALBERT LEA, MN 56007",56007,MN,43.6463331,-93.3889782,ALBERT LEA
WALGREEN CO,DEA,"7155 US HIGHWAY 431, ALBERTVILLE, AL 35950",35950,AL,,,ALBERTVILLE
