Business Name,Address 1,Address 2,"City,State,Zip"
US ARMY KIRK HEALTH CLINIC,PHARMACY,ABERDEEN PROVING GROUND,"ABERDEEN PROVING GROUND, MD 21005"
WALGREEN CO.,3005 EMMORTON ROAD,,"ABINGDON, MD 21009"
WILSON PHARMACY INC.  DBA MOUNTIAN STATES PHARMACY,16000 JOHNSTON MEMORIAL DRIVE,,"ABINGDON, VA 24211"
ALLIANCE PHARMACY CO,1245 HIGHLAND AVE,,"ABINGTON, PA 19001"
DBA NUCARA PHARMACY #6,722 MAIN ST.,,"ACKLEY, IA 50601"
"CVS PHARMACY, INC.",400 MASSACHUSETTS AVENUE,,"ACTON, MA 01720"
ELDER CARE PHARMACY #2,4769 S. MAIN STREET,SUITE A,"ACWORTH, GA 30101"
ADEL HEALTHMART,113  N. 9TH ST,,"ADEL, IA 50003"
ADRIAN PHARMACY LLC,1325 N MAIN ST STE H,,"ADRIAN, MI 49221"
MIZELLES DISCOUNT DRUG CO INC,LOUIS E MIZELLE JR,925 E MEMORIAL DRIVE,"AHOSKIE, NC 27910"
AIRWAY HGHTS CORRECTIONS CTR,11919 W. SPRAGUE AVENUE,P O BOX 1899,"AIRWAY HEIGHTS, WA 99001"
"GENOA, A QOL HEALTHCARE COMPANY, LLC",340 SOUTH BROADWAY,,"AKRON, OH 44308"
KAISER PERMANENTE PHARMACY #101,KFHP ALAMEDA MOB PHARMACY,2417 CENTRAL AVENUE,"ALAMEDA, CA 94501"
WALGREEN CO.,2300 OTIS DRIVE,,"ALAMEDA, CA 94501"
MIDTOWN PHARMACY PROFESSIONAL CORPORATION,2173 HARBOR BAY PARKWAY,,"ALAMEDA, CA 94502"
VALLEY WIDE PHARMACY,1710 FIRST STREET,,"ALAMOSA, CO 81101"
"GENOA, A QOL HEALTHCARE COMPANY, LLC","8745 COUNTY ROAD 9 SOUTH, STE 152",,"ALAMOSA, CO 81101"
WALGREEN CO,2414 SYLVESTER RD,,"ALBANY, GA 31705"
"GRAND ST. PAUL CVS, L.L.C.",740 RAILROAD AVE.,P.O. BOX 550,"ALBANY, MN 56307"
CURT'S LONG TERM CARE PHARMACY,"1615 W MAIN ST, SUITE B",,"ALBERT LEA, MN 56007"
WALGREEN CO,7155 US HIGHWAY 431,,"ALBERTVILLE, AL 35950"
CANCER CENTER PHARMACY,1201 CAMINO DE SALUD NE,,"ALBUQUERQUE, NM 87102"
UNIV HOSP OUTPATIENT PHARMACY,HEALTH SCIENCE CENTER,1209 UNIVERSITY BLVD NE,"ALBUQUERQUE, NM 87102"
UNM HOSPITALS OUTPATIENT AND DISCHARGE PHARMACY,2211 LOMAS BLVD NE,4ACC,"ALBUQUERQUE, NM 87106"
UNIVERSITY OF NEW MEXICO HOSP,ATTN PHARMACY,2211 LOMAS BLVD N.E.,"ALBUQUERQUE, NM 87106"
