Data FY,OPDIV,CFDA Num,CFDA Program Title,,State,Award Number,,Award Title,,Award Code,,Budget Year,Action Date,Recipient Name,,ZIP Code,Award Amount
2018,ACF,93600,Head Start,,KS,07CH7067,,"#G074123 - Duration Funds for Renovation carryover from FY16 to FY17 to complete project. $141,630",,02,,4,10/12/2017,EAST CENTRAL KANSAS ECONOMIC OPPORTUNITY CORPORATION,,66067,$0
2018,ACF,93643,Children's Justice Grants to States,,CA,0401CACJA1,,2004 CJA,,8,,1,12/13/2017,CA ST OFFICE OF CRIMINAL JUSTICE PLANNING,,95814,"-$221,936"
2018,ACF,93643,Children's Justice Grants to States,,GU,0401GUSOSR-93643,,2004 CJA,,8,,1,12/13/2017,GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,,96910,-$596
2018,ACF,93643,Children's Justice Grants to States,,MD,0401MDCJA1,,2004 CJA,,8,,1,12/13/2017,MD ST OFFICE OF THE GOVERNOR,,21201,"-$24,477"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,GU,0401GUSOSR-93568,,2004 LIHEAP,,51,,1,12/13/2017,GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,,96910,-$47
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,LA,0401LALIEA,,2004 LIHEAP,,51,,1,12/13/2017,LOUISIANA HOUSING FINANCE AGENCY,,70801-1203,"-$16,631"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,AL,04B1ALLIEA,,2004 LIHEAP,,51,,1,12/13/2017,AL ST DEPARTMENT OF ECONOMIC & COMMUNITY AFFAIRS,,36104-4325,"-$4,727"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,CO,04B1COLIEA,,2004 LIHEAP,,51,,1,12/13/2017,CO DEPARTMENT OF HUMAN SERVICES,,80203,"-$5,650"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,CT,04B1CTLIEA,,2004 LIHEAP,,51,,1,12/13/2017,"CT ST DEPT OF SOCIAL SERVICES, OFF OF FINANCIAL MGMT",,06106,"-$4,683"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,DC,04B1DCLIEA,,2004 LIHEAP,,51,,1,12/13/2017,DC OFFICE OF ENERGY,,20009,"-$3,257"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,KY,04B1KYLIEA,,2004 LIHEAP,,51,,1,12/13/2017,KY ST CABINET FOR FAMILIES & CHILDREN,,40621,-$103
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,OH,04B1OHLIEA,,2004 LIHEAP,,51,,1,12/13/2017,OH ST DEPARTMENT OF DEVELOPMENT,,43216,"-$18,682"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,OK,04B1OKLIEA,,2004 LIHEAP,,51,,1,12/13/2017,OK ST DEPARTMENT OF HUMAN SERVICES,,73111,"-$1,293"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,OR,04B1ORLIEA,,2004 LIHEAP,,51,,1,12/13/2017,OR ST COMMUNITY SERVICES PROGRAM,,97310,-$396
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,WI,04B1WILIEA,,2004 LIHEAP,,51,,1,12/13/2017,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,,53701,-$435
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,WY,04B1WYLIEA,,2004 LIHEAP,,51,,1,12/13/2017,WY ST DEPARTMENT OF FAMILY SERVICES,,82002,"-$12,179"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,OK,04J2OKLIEA,,2004 LIHEAP,,51,,1,12/13/2017,DELAWARE TRIBE OF INDIANS,,74003,-$140
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,NM,04JBNMLIEA,,2004 LIHEAP,,51,,1,12/13/2017,JICARILLA APACHE TRIBE COMMUNITY ACTION PROGRAM,,87528,-$309
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,AK,04JCAKLIEA,,2004 LIHEAP,,51,,1,12/13/2017,KENAITZE INDIAN TRIBE,,99611-0988,-$174
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,AZ,04JFAZLIEA,,2004 LIHEAP,,51,,1,12/13/2017,NAVAJO NATION,,86515,"-$1,432"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,AK,04JGAKLIEA,,2004 LIHEAP,,51,,1,12/13/2017,"TANANA CHIEFS CONFERENCE PLANNING & INFORM OFFICE, INC",,99701,"-$2,397"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,AK,04JHAKLIEA,,2004 LIHEAP,,51,,1,12/13/2017,TLINGIT & HAIDA TRIBES CENTRAL COUNCIL,,99801,-$840
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,ID,04PBIDLIEA,,2004 LIHEAP,,51,,1,12/13/2017,COEUR DALENE TRIBE,,83851-0408,-$142
