name,address,state_x,postal_x,source_x,lat,lng,source_date_x,googleMapsUrl_x,county,googleMapsUrl_y,state_y,postal_y,source_y,source_date_y,_merge
HOLYOKE HEALTH CENTER INC,"505 FRONT STREET, CHICOPEE, MA 01013",MA,1013.0,DEA,42.148087,-72.59758000000002,Dec2018,http://maps.google.com/maps?q=HOLYOKE%20HEALTH%20CENTER%20INC%2C505%20FRONT%20STREET%2C+CHICOPEE%2C+MA+01013,Hampden,,,,,,left_only
"CVS PHARMACY, INC.","1616 MEMORIAL DR., CHICOPEE, MA 01020",MA,1020.0,DEA,42.200012,-72.57292,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1616%20MEMORIAL%20DR.%2C+CHICOPEE%2C+MA+01020,Hampden,,,,,,left_only
"HOLYOKE HEALTH CENTER, INC.","PHARMACY DEPARTMENT, 230 MAPLE STREET, HOLYOKE, MA 01040",MA,1040.0,DEA,42.2071708,-72.6086105,Dec2018,http://maps.google.com/maps?q=HOLYOKE%20HEALTH%20CENTER%20INC%2CPHARMACY%20DEPARTMENT%2C+HOLYOKE%2C+MA+01040,Hampden,,,,,,left_only
"CVS PHARMACY, INC.","615-621 BELMONT AVENUE, SPRINGFIELD, MA 01108",MA,1108.0,DEA,42.088091,-72.569614,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C615-621%20BELMONT%20AVENUE%2C+SPRINGFIELD%2C+MA+01108,Hampden,,,,,,left_only
"WALGREEN EASTERN CO., INC.","501 SUMNER AVENUE, SPRINGFIELD, MA 01108",MA,1108.0,DEA,42.086056,-72.55819,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C501%20SUMNER%20AVENUE%2C+SPRINGFIELD%2C+MA+01108,Hampden,,,,,,left_only
"CVS PHARMACY, INC.","600 STATE ST, SPRINGFIELD, MA 01109",MA,1109.0,DEA,42.109787,-72.57208,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C600%20STATE%20ST%2C+SPRINGFIELD%2C+MA+01109,Hampden,,,,,,left_only
BAYSTATE MEDICAL CENTER INC,"759 CHESTNUT ST, SPRINGFIELD, MA 01199",MA,1199.0,DEA,42.121864,-72.60290400000002,Dec2018,http://maps.google.com/maps?q=BAYSTATE%20MEDICAL%20CENTER%20INC%2C759%20CHESTNUT%20ST%2C+SPRINGFIELD%2C+MA+01199,Hampden,,,,,,left_only
T C FLYNN PHARMACY,"173 ELM ST, PITTSFIELD, MA 01201",MA,1201.0,DEA,42.443882,-73.23778,Dec2018,http://maps.google.com/maps?q=T%20C%20FLYNN%20PHARMACY%2C173%20ELM%20ST%2C+PITTSFIELD%2C+MA+01201,Berkshire,,,,,,left_only
"CVS PHARMACY, INC.","137 FEDERAL STREET, GREENFIELD, MA 01301",MA,1301.0,DEA,42.590626,-72.59879000000002,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C137%20FEDERAL%20STREET%2C+GREENFIELD%2C+MA+01301,Franklin,,,,,,left_only
"CVS PHARMACY, INC.","314 MAIN STREET, GARDNER, MA 01440",MA,1440.0,DEA,42.57025,-71.99335500000002,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C314%20MAIN%20STREET%2C+GARDNER%2C+MA+01440,Worcester,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C314%20MAIN%20STREET%2C+GARDNER%2C+MA+01440,MA,1440.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","9 NELSON STREET, LEOMINSTER, MA 01453",MA,1453.0,DEA,42.542496,-71.76133,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C9%20NELSON%20STREET%2C+LEOMINSTER%2C+MA+01453,Worcester,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C9%20NELSON%20STREET%2C+LEOMINSTER%2C+MA+01453,MA,1453.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","197 BOSTON TURNPIKE RTE 9, SHREWSBURY, MA 01545",MA,1545.0,DEA,42.2746817,-71.7460745,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C197%20BOSTON%20TURNPIKE%20RTE%209%2C+SHREWSBURY%2C+MA+01545,Worcester,,,,,,left_only
"WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL, LLC","300 FRIBERG PARKWAY, WESTBOROUGH, MA 01581",MA,1581.0,DEA,42.2841877412,-71.5839766074,April2018,http://maps.google.com/maps?q=WESTBOROUGH%20BEHAVIORAL%20HEALTHCARE%20HOSPITAL%20LLC%2C300%20FRIBERG%20PARKWAY%2C+WESTBOROUGH%2C+MA+01581,Worcester,http://maps.google.com/maps?q=WESTBOROUGH%20BEHAVIORAL%20HEALTHCARE%20HOSPITAL%20LLC%2C300%20FRIBERG%20PARKWAY%2C+WESTBOROUGH%2C+MA+01581,MA,1581.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","115 STAFFORD ST., WORCESTER, MA 01603",MA,1603.0,DEA,42.238577,-71.844559,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C115%20STAFFORD%20ST.%2C+WORCESTER%2C+MA+01603,Worcester,,,,,,left_only
